Month,SiteID,SiteName,Region,VehicleID,VehicleType,Miles,FuelLitres,FuelCost,MaintenanceCost,LeaseCost,TotalFleetCost
2025-01-01,S013,Reading Care & Education Centre,South,VH0034,Van,751,88.4,130.83,161.44,450,742.27
2025-01-01,S013,Reading Care & Education Centre,South,VH0104,Minibus,1483,174.5,258.26,428.5,450,1136.76
2025-01-01,S013,Reading Care & Education Centre,South,VH0010,Minibus,1209,142.2,210.46,290.07,520,1020.53
2025-01-01,S013,Reading Care & Education Centre,South,VH0137,Car,599,57.0,84.36,106.59,450,640.95
2025-01-01,S014,Southampton Care & Education Centre,South,VH0013,Minibus,853,100.4,148.59,200.33,320,668.9200000000001
2025-01-01,S014,Southampton Care & Education Centre,South,VH0101,Car,1007,95.9,141.93,112.23,380,634.1600000000001
2025-01-01,S014,Southampton Care & Education Centre,South,VH0077,Car,555,52.9,78.29,209.83,320,608.12
2025-01-01,S014,Southampton Care & Education Centre,South,VH0117,MPV,781,74.4,110.11,169.14,320,599.25
2025-01-01,S014,Southampton Care & Education Centre,South,VH0127,Minibus,1568,184.5,273.06,176.45,520,969.51
2025-01-01,S014,Southampton Care & Education Centre,South,VH0032,MPV,417,39.7,58.76,127.12,380,565.88
2025-01-01,S015,Brighton Care & Education Centre,South,VH0049,Car,1325,126.2,186.78,306.67,320,813.45
2025-01-01,S015,Brighton Care & Education Centre,South,VH0095,Minibus,742,87.3,129.2,289.74,320,738.94
2025-01-01,S015,Brighton Care & Education Centre,South,VH0138,Car,933,88.9,131.57,141.52,320,593.09
2025-01-01,S016,Cardiff Care & Education Centre,Wales,VH0020,MPV,1711,163.0,241.24,29.76,380,651.0
2025-01-01,S016,Cardiff Care & Education Centre,Wales,VH0068,Van,1113,130.9,193.73,187.42,320,701.15
2025-01-01,S016,Cardiff Care & Education Centre,Wales,VH0085,MPV,1321,125.8,186.18,157.84,450,794.02
2025-01-01,S016,Cardiff Care & Education Centre,Wales,VH0098,MPV,1127,107.3,158.8,118.67,520,797.47
2025-01-01,S016,Cardiff Care & Education Centre,Wales,VH0070,Van,1117,131.4,194.47,122.54,320,637.01
2025-01-01,S017,Swansea Care & Education Centre,Wales,VH0136,MPV,1205,114.8,169.9,120.43,320,610.33
2025-01-01,S017,Swansea Care & Education Centre,Wales,VH0062,Minibus,1144,134.6,199.21,247.66,450,896.87
2025-01-01,S017,Swansea Care & Education Centre,Wales,VH0123,Car,1331,126.8,187.66,145.89,450,783.55
2025-01-01,S017,Swansea Care & Education Centre,Wales,VH0126,MPV,606,57.7,85.4,250.95,380,716.35
2025-01-01,S017,Swansea Care & Education Centre,Wales,VH0072,Car,823,78.4,116.03,97.7,320,533.73
2025-01-01,S017,Swansea Care & Education Centre,Wales,VH0083,Van,901,106.0,156.88,259.96,320,736.8399999999999
2025-01-01,S017,Swansea Care & Education Centre,Wales,VH0124,MPV,516,49.1,72.67,401.02,320,793.69
2025-01-01,S018,Newport Care & Education Centre,Wales,VH0120,Car,1314,125.1,185.15,167.86,450,803.01
2025-01-01,S018,Newport Care & Education Centre,Wales,VH0099,MPV,1036,98.7,146.08,172.84,450,768.9200000000001
2025-01-01,S018,Newport Care & Education Centre,Wales,VH0049,Minibus,1180,138.8,205.42,301.62,520,1027.04
2025-01-01,S018,Newport Care & Education Centre,Wales,VH0125,MPV,1188,113.1,167.39,157.17,320,644.56
2025-01-01,S019,Wrexham Care & Education Centre,Wales,VH0057,MPV,1000,95.2,140.9,137.9,520,798.8
2025-01-01,S019,Wrexham Care & Education Centre,Wales,VH0094,MPV,1001,95.3,141.04,240.7,320,701.74
2025-01-01,S019,Wrexham Care & Education Centre,Wales,VH0099,Minibus,1198,140.9,208.53,14.77,520,743.3
2025-01-01,S019,Wrexham Care & Education Centre,Wales,VH0116,MPV,1213,115.5,170.94,165.58,450,786.52
2025-01-01,S020,Bangor Care & Education Centre,Wales,VH0027,Van,1045,122.9,181.89,118.92,380,680.81
2025-01-01,S020,Bangor Care & Education Centre,Wales,VH0038,Minibus,1331,156.6,231.77,325.8,320,877.57
2025-01-01,S020,Bangor Care & Education Centre,Wales,VH0119,Van,856,100.7,149.04,182.56,520,851.6
2025-01-01,S020,Bangor Care & Education Centre,Wales,VH0028,Minibus,807,94.9,140.45,139.63,450,730.0799999999999
2025-01-01,S020,Bangor Care & Education Centre,Wales,VH0029,Car,893,85.0,125.8,218.99,320,664.79
2025-01-01,S020,Bangor Care & Education Centre,Wales,VH0062,Minibus,1288,151.5,224.22,291.05,520,1035.27
2025-01-01,S020,Bangor Care & Education Centre,Wales,VH0005,MPV,1231,117.2,173.46,191.29,380,744.75
2025-02-01,S001,Preston Care & Education Centre,North,VH0129,Minibus,889,104.6,154.81,284.55,450,889.36
2025-02-01,S001,Preston Care & Education Centre,North,VH0111,Car,1250,119.0,176.12,210.34,320,706.46
2025-02-01,S001,Preston Care & Education Centre,North,VH0131,Van,1347,158.5,234.58,206.66,520,961.24
2025-02-01,S001,Preston Care & Education Centre,North,VH0086,MPV,1137,108.3,160.28,235.61,450,845.89
2025-02-01,S001,Preston Care & Education Centre,North,VH0014,MPV,1043,99.3,146.96,79.45,520,746.4100000000001
2025-02-01,S001,Preston Care & Education Centre,North,VH0113,MPV,1009,96.1,142.23,90.41,450,682.64
2025-02-01,S002,Manchester Care & Education Centre,North,VH0127,MPV,881,83.9,124.17,138.44,320,582.61
2025-02-01,S002,Manchester Care & Education Centre,North,VH0133,Car,851,81.0,119.88,125.36,320,565.24
2025-02-01,S002,Manchester Care & Education Centre,North,VH0111,Minibus,576,67.8,100.34,267.06,380,747.4
2025-02-01,S002,Manchester Care & Education Centre,North,VH0028,Car,1050,100.0,148.0,84.63,320,552.63
2025-02-01,S002,Manchester Care & Education Centre,North,VH0013,Minibus,1214,142.8,211.34,325.01,380,916.35
2025-02-01,S002,Manchester Care & Education Centre,North,VH0064,Van,648,76.2,112.78,88.98,520,721.76
2025-02-01,S002,Manchester Care & Education Centre,North,VH0029,Van,857,100.8,149.18,74.81,320,543.99
2025-02-01,S003,Leeds Care & Education Centre,North,VH0069,MPV,1257,119.7,177.16,134.49,450,761.65
2025-02-01,S003,Leeds Care & Education Centre,North,VH0127,Minibus,983,115.6,171.09,89.69,450,710.78
2025-02-01,S003,Leeds Care & Education Centre,North,VH0053,Car,1208,115.0,170.2,50.86,320,541.06
2025-02-01,S003,Leeds Care & Education Centre,North,VH0044,MPV,1064,101.3,149.92,172.19,520,842.11
2025-02-01,S004,Newcastle Care & Education Centre,North,VH0062,MPV,1390,132.4,195.95,45.29,450,691.24
2025-02-01,S004,Newcastle Care & Education Centre,North,VH0044,Van,295,34.7,51.36,164.71,380,596.0699999999999
2025-02-01,S004,Newcastle Care & Education Centre,North,VH0081,Car,1500,142.9,211.49,249.12,520,980.61
2025-02-01,S004,Newcastle Care & Education Centre,North,VH0018,Van,1102,129.6,191.81,110.67,450,752.48
2025-02-01,S004,Newcastle Care & Education Centre,North,VH0043,Car,1251,119.1,176.27,72.12,380,628.39
2025-02-01,S005,Sheffield Care & Education Centre,North,VH0020,Car,1169,111.3,164.72,190.44,520,875.16
2025-02-01,S005,Sheffield Care & Education Centre,North,VH0044,MPV,1315,125.2,185.3,370.77,520,1076.07
2025-02-01,S005,Sheffield Care & Education Centre,North,VH0003,Car,1148,109.3,161.76,109.28,320,591.04
2025-02-01,S005,Sheffield Care & Education Centre,North,VH0091,Car,1043,99.3,146.96,8.47,450,605.4300000000001
2025-02-01,S005,Sheffield Care & Education Centre,North,VH0122,MPV,876,83.4,123.43,117.26,380,620.69
2025-02-01,S006,Birmingham Care & Education Centre,Midlands,VH0025,Van,918,108.0,159.84,162.19,520,842.03
2025-02-01,S006,Birmingham Care & Education Centre,Midlands,VH0026,Minibus,844,99.3,146.96,339.68,450,936.64
2025-02-01,S006,Birmingham Care & Education Centre,Midlands,VH0078,Van,1050,123.5,182.78,149.26,450,782.04
2025-02-01,S006,Birmingham Care & Education Centre,Midlands,VH0086,Minibus,968,113.9,168.57,262.42,520,950.99
2025-02-01,S007,Nottingham Care & Education Centre,Midlands,VH0091,Van,1256,147.8,218.74,80.63,320,619.37
2025-02-01,S007,Nottingham Care & Education Centre,Midlands,VH0078,Minibus,885,104.1,154.07,225.7,320,699.77
2025-02-01,S007,Nottingham Care & Education Centre,Midlands,VH0086,MPV,713,67.9,100.49,84.46,520,704.95
2025-02-01,S008,Leicester Care & Education Centre,Midlands,VH0037,MPV,930,88.6,131.13,219.95,520,871.0799999999999
2025-02-01,S008,Leicester Care & Education Centre,Midlands,VH0092,Minibus,1115,131.2,194.18,265.49,380,839.6700000000001
2025-02-01,S008,Leicester Care & Education Centre,Midlands,VH0128,Car,1262,120.2,177.9,139.01,380,696.91
2025-02-01,S008,Leicester Care & Education Centre,Midlands,VH0008,Van,1147,134.9,199.65,141.74,320,661.39
2025-02-01,S009,Derby Care & Education Centre,Midlands,VH0140,Minibus,1116,131.3,194.32,203.38,450,847.7
2025-02-01,S009,Derby Care & Education Centre,Midlands,VH0116,Van,440,51.8,76.66,139.26,520,735.92
2025-02-01,S009,Derby Care & Education Centre,Midlands,VH0135,Minibus,1405,165.3,244.64,324.1,450,1018.74
2025-02-01,S009,Derby Care & Education Centre,Midlands,VH0045,MPV,1291,123.0,182.04,248.89,320,750.93
2025-02-01,S009,Derby Care & Education Centre,Midlands,VH0068,Minibus,1072,126.1,186.63,265.79,320,772.4200000000001
2025-02-01,S010,Coventry Care & Education Centre,Midlands,VH0117,MPV,895,85.2,126.1,124.71,520,770.81
2025-02-01,S010,Coventry Care & Education Centre,Midlands,VH0089,MPV,1203,114.6,169.61,246.31,450,865.9200000000001
2025-02-01,S010,Coventry Care & Education Centre,Midlands,VH0074,MPV,1015,96.7,143.12,113.98,450,707.1
2025-02-01,S010,Coventry Care & Education Centre,Midlands,VH0029,Van,1050,123.5,182.78,198.1,450,830.88
2025-02-01,S010,Coventry Care & Education Centre,Midlands,VH0003,Car,689,65.6,97.09,0.0,450,547.09
2025-02-01,S010,Coventry Care & Education Centre,Midlands,VH0128,Car,912,86.9,128.61,52.34,520,700.95
2025-02-01,S011,London Care & Education Centre,South,VH0056,Car,922,87.8,129.94,138.18,520,788.12
2025-02-01,S011,London Care & Education Centre,South,VH0073,Minibus,936,110.1,162.95,366.2,320,849.15
2025-02-01,S011,London Care & Education Centre,South,VH0032,Van,1131,133.1,196.99,174.04,450,821.03
2025-02-01,S012,Bristol Care & Education Centre,South,VH0013,Minibus,1205,141.8,209.86,158.89,450,818.75
2025-02-01,S012,Bristol Care & Education Centre,South,VH0065,MPV,1309,124.7,184.56,143.94,320,648.5
2025-02-01,S012,Bristol Care & Education Centre,South,VH0036,Minibus,1217,143.2,211.94,164.25,380,756.19
2025-02-01,S013,Reading Care & Education Centre,South,VH0111,Car,661,63.0,93.24,215.43,520,828.6700000000001
2025-02-01,S013,Reading Care & Education Centre,South,VH0021,Minibus,1144,134.6,199.21,177.84,380,757.05
2025-02-01,S013,Reading Care & Education Centre,South,VH0075,Van,832,97.9,144.89,240.03,520,904.92
2025-02-01,S013,Reading Care & Education Centre,South,VH0057,Van,752,88.5,130.98,281.41,320,732.39
2025-02-01,S014,Southampton Care & Education Centre,South,VH0078,MPV,824,78.5,116.18,201.07,380,697.25
2025-02-01,S014,Southampton Care & Education Centre,South,VH0080,Minibus,967,113.8,168.42,298.25,380,846.67
2025-02-01,S014,Southampton Care & Education Centre,South,VH0045,Van,913,107.4,158.95,136.98,380,675.93
2025-02-01,S014,Southampton Care & Education Centre,South,VH0112,Minibus,1060,124.7,184.56,169.83,450,804.39
2025-02-01,S014,Southampton Care & Education Centre,South,VH0083,Car,1235,117.6,174.05,108.94,450,732.99
2025-02-01,S015,Brighton Care & Education Centre,South,VH0119,Van,992,116.7,172.72,70.45,450,693.1700000000001
2025-02-01,S015,Brighton Care & Education Centre,South,VH0140,Minibus,409,48.1,71.19,234.72,520,825.91
2025-02-01,S015,Brighton Care & Education Centre,South,VH0047,Minibus,1653,194.5,287.86,312.77,520,1120.63
2025-02-01,S015,Brighton Care & Education Centre,South,VH0097,Van,1045,122.9,181.89,128.97,520,830.86
2025-02-01,S015,Brighton Care & Education Centre,South,VH0112,Van,1055,124.1,183.67,193.77,520,897.44
2025-02-01,S015,Brighton Care & Education Centre,South,VH0025,Car,754,71.8,106.26,239.15,320,665.4100000000001
2025-02-01,S015,Brighton Care & Education Centre,South,VH0036,Van,1228,144.5,213.86,207.45,320,741.31
2025-02-01,S016,Cardiff Care & Education Centre,Wales,VH0078,MPV,1159,110.4,163.39,151.57,450,764.96
2025-02-01,S016,Cardiff Care & Education Centre,Wales,VH0063,Car,1218,116.0,171.68,197.35,520,889.03
2025-02-01,S016,Cardiff Care & Education Centre,Wales,VH0132,MPV,961,91.5,135.42,104.11,520,759.53
2025-02-01,S016,Cardiff Care & Education Centre,Wales,VH0096,Car,1075,102.4,151.55,273.92,520,945.47
2025-02-01,S017,Swansea Care & Education Centre,Wales,VH0118,Car,740,70.5,104.34,32.6,450,586.94
2025-02-01,S017,Swansea Care & Education Centre,Wales,VH0014,Van,1091,128.4,190.03,154.07,450,794.1
2025-02-01,S017,Swansea Care & Education Centre,Wales,VH0022,Car,1093,104.1,154.07,169.52,320,643.59
2025-02-01,S017,Swansea Care & Education Centre,Wales,VH0015,Car,994,94.7,140.16,269.19,380,789.35
2025-02-01,S017,Swansea Care & Education Centre,Wales,VH0070,MPV,649,61.8,91.46,83.72,520,695.1800000000001
2025-02-01,S017,Swansea Care & Education Centre,Wales,VH0028,MPV,1024,97.5,144.3,18.54,380,542.84
2025-02-01,S017,Swansea Care & Education Centre,Wales,VH0086,MPV,1006,95.8,141.78,282.92,450,874.7
2025-02-01,S018,Newport Care & Education Centre,Wales,VH0002,Car,1055,100.5,148.74,168.46,380,697.2
2025-02-01,S018,Newport Care & Education Centre,Wales,VH0125,Car,734,69.9,103.45,100.69,320,524.14
2025-02-01,S018,Newport Care & Education Centre,Wales,VH0052,MPV,956,91.0,134.68,124.58,380,639.26
2025-02-01,S018,Newport Care & Education Centre,Wales,VH0030,Car,1370,130.5,193.14,194.62,520,907.76
2025-02-01,S018,Newport Care & Education Centre,Wales,VH0018,Car,772,73.5,108.78,169.72,520,798.5
2025-02-01,S019,Wrexham Care & Education Centre,Wales,VH0015,MPV,1174,111.8,165.46,241.21,450,856.6700000000001
2025-02-01,S019,Wrexham Care & Education Centre,Wales,VH0032,Van,1445,170.0,251.6,68.79,320,640.39
2025-02-01,S019,Wrexham Care & Education Centre,Wales,VH0077,Van,847,99.6,147.41,49.39,380,576.8
2025-02-01,S019,Wrexham Care & Education Centre,Wales,VH0104,Car,991,94.4,139.71,187.31,380,707.02
2025-02-01,S019,Wrexham Care & Education Centre,Wales,VH0124,MPV,1296,123.4,182.63,143.92,380,706.55
2025-02-01,S019,Wrexham Care & Education Centre,Wales,VH0048,MPV,970,92.4,136.75,162.14,380,678.89
2025-02-01,S020,Bangor Care & Education Centre,Wales,VH0123,Van,841,98.9,146.37,317.16,520,983.53
2025-02-01,S020,Bangor Care & Education Centre,Wales,VH0075,Car,648,61.7,91.32,164.78,520,776.1
2025-02-01,S020,Bangor Care & Education Centre,Wales,VH0026,Van,1555,182.9,270.69,150.54,520,941.23
2025-02-01,S020,Bangor Care & Education Centre,Wales,VH0127,MPV,1002,95.4,141.19,121.4,320,582.59
2025-02-01,S020,Bangor Care & Education Centre,Wales,VH0095,Minibus,1004,118.1,174.79,359.83,520,1054.62
2025-02-01,S020,Bangor Care & Education Centre,Wales,VH0071,Car,497,47.3,70.0,272.67,520,862.6700000000001
2025-03-01,S001,Preston Care & Education Centre,North,VH0078,Car,694,66.1,97.83,128.67,450,676.5
2025-03-01,S001,Preston Care & Education Centre,North,VH0009,MPV,942,89.7,132.76,197.08,520,849.84
2025-03-01,S001,Preston Care & Education Centre,North,VH0114,Van,650,76.5,113.22,186.97,450,750.19
2025-03-01,S002,Manchester Care & Education Centre,North,VH0041,MPV,1556,148.2,219.34,40.95,450,710.29
2025-03-01,S002,Manchester Care & Education Centre,North,VH0092,Van,1097,129.1,191.07,97.04,320,608.11
2025-03-01,S002,Manchester Care & Education Centre,North,VH0129,MPV,1156,110.1,162.95,151.53,380,694.48
2025-03-01,S003,Leeds Care & Education Centre,North,VH0087,Van,889,104.6,154.81,189.03,320,663.84
2025-03-01,S003,Leeds Care & Education Centre,North,VH0118,Van,1501,176.6,261.37,134.73,520,916.1
2025-03-01,S003,Leeds Care & Education Centre,North,VH0036,Van,1229,144.6,214.01,46.54,380,640.55
2025-03-01,S003,Leeds Care & Education Centre,North,VH0072,Minibus,810,95.3,141.04,287.79,380,808.83
2025-03-01,S003,Leeds Care & Education Centre,North,VH0078,Minibus,1421,167.2,247.46,278.45,450,975.91
2025-03-01,S004,Newcastle Care & Education Centre,North,VH0104,Car,971,92.5,136.9,149.94,520,806.84
2025-03-01,S004,Newcastle Care & Education Centre,North,VH0018,Van,737,86.7,128.32,198.36,450,776.6800000000001
2025-03-01,S004,Newcastle Care & Education Centre,North,VH0012,MPV,1270,121.0,179.08,113.83,380,672.9100000000001
2025-03-01,S004,Newcastle Care & Education Centre,North,VH0008,Car,932,88.8,131.42,171.27,380,682.69
2025-03-01,S004,Newcastle Care & Education Centre,North,VH0041,Van,940,110.6,163.69,144.71,520,828.4
2025-03-01,S004,Newcastle Care & Education Centre,North,VH0060,Car,1574,149.9,221.85,130.24,320,672.09
2025-03-01,S004,Newcastle Care & Education Centre,North,VH0025,Minibus,960,112.9,167.09,198.2,320,685.29
2025-03-01,S005,Sheffield Care & Education Centre,North,VH0019,Car,1236,117.7,174.2,135.5,380,689.7
2025-03-01,S005,Sheffield Care & Education Centre,North,VH0114,Minibus,887,104.4,154.51,355.7,320,830.21
2025-03-01,S005,Sheffield Care & Education Centre,North,VH0096,Van,1404,165.2,244.5,101.97,520,866.47
2025-03-01,S006,Birmingham Care & Education Centre,Midlands,VH0052,Van,583,68.6,101.53,230.6,450,782.13
2025-03-01,S006,Birmingham Care & Education Centre,Midlands,VH0051,MPV,878,83.6,123.73,213.25,380,716.98
2025-03-01,S006,Birmingham Care & Education Centre,Midlands,VH0065,MPV,557,53.0,78.44,221.41,520,819.85
2025-03-01,S006,Birmingham Care & Education Centre,Midlands,VH0126,MPV,747,71.1,105.23,208.46,320,633.69
2025-03-01,S007,Nottingham Care & Education Centre,Midlands,VH0007,Van,1053,123.9,183.37,73.68,320,577.05
2025-03-01,S007,Nottingham Care & Education Centre,Midlands,VH0025,Minibus,948,111.5,165.02,304.91,380,849.9300000000001
2025-03-01,S007,Nottingham Care & Education Centre,Midlands,VH0053,Van,1076,126.6,187.37,196.75,380,764.12
2025-03-01,S007,Nottingham Care & Education Centre,Midlands,VH0009,MPV,1544,147.0,217.56,24.86,520,762.4200000000001
2025-03-01,S007,Nottingham Care & Education Centre,Midlands,VH0036,Minibus,1454,171.1,253.23,258.35,450,961.58
2025-03-01,S007,Nottingham Care & Education Centre,Midlands,VH0002,MPV,825,78.6,116.33,43.57,320,479.9
2025-03-01,S007,Nottingham Care & Education Centre,Midlands,VH0093,Van,1002,117.9,174.49,223.73,520,918.22
2025-03-01,S008,Leicester Care & Education Centre,Midlands,VH0019,Car,1018,97.0,143.56,270.89,520,934.45
2025-03-01,S008,Leicester Care & Education Centre,Midlands,VH0021,MPV,687,65.4,96.79,149.03,320,565.8199999999999
2025-03-01,S008,Leicester Care & Education Centre,Midlands,VH0033,Minibus,736,86.6,128.17,279.09,320,727.26
2025-03-01,S008,Leicester Care & Education Centre,Midlands,VH0133,MPV,1271,121.0,179.08,116.34,450,745.4200000000001
2025-03-01,S008,Leicester Care & Education Centre,Midlands,VH0077,Minibus,398,46.8,69.26,265.92,520,855.1800000000001
2025-03-01,S008,Leicester Care & Education Centre,Midlands,VH0026,Minibus,1159,136.4,201.87,282.34,320,804.21
2025-03-01,S009,Derby Care & Education Centre,Midlands,VH0074,Minibus,1358,159.8,236.5,164.32,520,920.8199999999999
2025-03-01,S009,Derby Care & Education Centre,Midlands,VH0020,Car,1220,116.2,171.98,245.4,320,737.38
2025-03-01,S009,Derby Care & Education Centre,Midlands,VH0137,Van,605,71.2,105.38,175.57,450,730.95
2025-03-01,S009,Derby Care & Education Centre,Midlands,VH0062,Car,923,87.9,130.09,143.48,320,593.5699999999999
2025-03-01,S010,Coventry Care & Education Centre,Midlands,VH0108,MPV,1136,108.2,160.14,111.02,380,651.16
2025-03-01,S010,Coventry Care & Education Centre,Midlands,VH0067,Minibus,881,103.6,153.33,252.73,320,726.06
2025-03-01,S010,Coventry Care & Education Centre,Midlands,VH0052,MPV,778,74.1,109.67,63.13,520,692.8
2025-03-01,S010,Coventry Care & Education Centre,Midlands,VH0086,Car,1219,116.1,171.83,58.1,320,549.9300000000001
2025-03-01,S010,Coventry Care & Education Centre,Midlands,VH0016,Minibus,1216,143.1,211.79,287.01,320,818.8
2025-03-01,S011,London Care & Education Centre,South,VH0021,Car,618,58.9,87.17,95.79,520,702.96
2025-03-01,S011,London Care & Education Centre,South,VH0123,MPV,1348,128.4,190.03,71.51,450,711.54
2025-03-01,S011,London Care & Education Centre,South,VH0034,Van,933,109.8,162.5,186.96,520,869.46
2025-03-01,S011,London Care & Education Centre,South,VH0070,Minibus,1245,146.5,216.82,229.88,380,826.7
2025-03-01,S011,London Care & Education Centre,South,VH0011,Car,900,85.7,126.84,263.79,320,710.63
2025-03-01,S011,London Care & Education Centre,South,VH0027,Car,1484,141.3,209.12,228.31,380,817.4300000000001
2025-03-01,S012,Bristol Care & Education Centre,South,VH0098,Van,1071,126.0,186.48,85.34,520,791.8199999999999
