InvoiceDate,SiteID,SiteName,Region,Supplier,Category,InvoiceID,Quantity,UnitCost,GrossSpend,PaymentTermsDays,SourceSystem,VAT,NetSpend,Contracted,DataQualityFlag
2025-08-01,S001,Preston Care & Education Centre,North,FleetFuel,Vehicle & Fuel,INV-2025-01223,52,134.62,7000.23,45,Legacy Spend File,1400.046,7000.23,Y,OK
2025-10-08,S006,Birmingham Care & Education Centre,Midlands,PrintCo,Office & Training,INV-2025-01224,24,94.17,2260.03,30,Legacy Spend File,452.0060000000001,2260.03,N,OK
2025-09-13,S007,Nottingham Care & Education Centre,Midlands,BuildCare,Facilities,INV-2025-01225,28,162.56,4551.69,60,Legacy Spend File,910.338,4551.69,N,OK
2025-09-30,S019,Wrexham Care & Education Centre,Wales,NetServe,IT & Telecoms,INV-2025-01226,79,204.84,16182.31,45,Legacy Spend File,3236.462,16182.31,N,OK
2025-04-13,S002,Manchester Care & Education Centre,North,ClinEquip,Medical Supplies,INV-2025-01227,47,122.93,5777.55,45,ERP,1155.51,5777.55,N,OK
2025-12-17,S006,Birmingham Care & Education Centre,Midlands,BuildCare,Facilities,INV-2025-01228,39,166.02,6474.76,45,Procurement Portal,1294.9520000000002,6474.76,N,OK
2025-04-15,S012,Bristol Care & Education Centre,South,KitchenPro,Food & Catering,INV-2025-01229,53,110.45,5853.6,45,Procurement Portal,1170.72,5853.6,N,OK
2025-12-18,S001,Preston Care & Education Centre,North,SafeGuard FM,Facilities,INV-2025-01230,77,607.13,46749.08,30,Procurement Portal,9349.816,46749.08,N,OK
2025-04-09,S012,Bristol Care & Education Centre,South,FreshServe,Food & Catering,INV-2025-01231,4,47.84,191.34,30,Procurement Portal,38.268,191.34,Y,OK
2025-08-12,S015,Brighton Care & Education Centre,South,PrintCo,Office & Training,INV-2025-01232,55,35.31,1941.91,60,ERP,388.38200000000006,1941.91,N,OK
2025-03-11,S013,Reading Care & Education Centre,South,SafeGuard FM,Facilities,INV-2025-01233,4,171.47,685.88,45,Procurement Portal,137.17600000000002,685.88,N,OK
2025-01-22,S019,Wrexham Care & Education Centre,Wales,buildcare,Facilities,INV-2025-01234,63,743.82,46860.56,30,ERP,9372.112,46860.56,N,OK
2025-06-02,S008,Leicester Care & Education Centre,Midlands,AutoCare,Vehicle & Fuel,INV-2025-01235,9,61.06,549.54,45,Procurement Portal,109.908,549.54,N,OK
2025-03-13,S014,Southampton Care & Education Centre,South,NourishCo,Food & Catering,INV-2025-01236,31,160.12,4963.61,30,Legacy Spend File,992.722,4963.61,N,OK
2025-12-07,S002,Manchester Care & Education Centre,North,KitchenPro,Food & Catering,INV-2025-01237,75,163.55,12266.3,60,Procurement Portal,2453.26,12266.3,N,OK
2025-11-04,S015,Brighton Care & Education Centre,South,FreshServe,Food & Catering,INV-2025-01238,16,47.94,767.01,45,Procurement Portal,153.40200000000002,767.01,Y,OK
2025-05-01,S005,Sheffield Care & Education Centre,North,NurseLink,Agency Labour,INV-2025-01239,55,410.23,22562.77,30,ERP,4512.554,22562.77,N,OK
2025-05-21,S004,Newcastle Care & Education Centre,North,CleanWorks,Facilities,INV-2025-01240,57,440.79,25125.19,45,Procurement Portal,5025.0380000000005,25125.19,Y,OK
2025-10-01,S002,Manchester Care & Education Centre,North,CareMed,Medical Supplies,INV-2025-01241,48,97.41,4675.88,60,ERP,935.176,4675.88,N,OK
2025-12-16,S009,Derby Care & Education Centre,Midlands,CareTemps,Agency Labour,INV-2025-01242,32,268.22,8583.09,45,ERP,1716.6180000000002,8583.09,N,OK
2025-07-08,S003,Leeds Care & Education Centre,North,PrintCo,Office & Training,INV-2025-01243,40,54.47,2178.61,30,Legacy Spend File,435.722,2178.61,N,OK
2025-12-06,S014,Southampton Care & Education Centre,South,ClinEquip,Medical Supplies,INV-2025-01244,7,68.67,480.72,60,Legacy Spend File,96.144,480.72,N,OK
2025-07-16,S011,London Care & Education Centre,South,NetServe,IT & Telecoms,INV-2025-01245,40,153.93,6157.37,60,Legacy Spend File,1231.4740000000002,6157.37,N,OK
2025-05-02,S017,Swansea Care & Education Centre,Wales,KitchenPro,Food & Catering,INV-2025-01246,57,33.16,1889.89,45,ERP,377.97800000000007,1889.89,N,OK
2025-02-16,S002,Manchester Care & Education Centre,North,TeleCare IT,IT & Telecoms,INV-2025-01247,31,224.16,6949.05,45,ERP,1389.8100000000002,6949.05,N,OK
2025-06-12,S015,Brighton Care & Education Centre,South,PrintCo,Office & Training,INV-2025-01248,53,49.11,2602.67,30,Procurement Portal,520.534,2602.67,N,OK
2025-07-31,S018,Newport Care & Education Centre,Wales,LearnWell,Office & Training,INV-2025-01249,43,85.29,3667.52,60,Procurement Portal,733.504,3667.52,N,OK
2025-05-14,S020,Bangor Care & Education Centre,Wales,BuildCare,Facilities,INV-2025-01250,65,76.49,4972.12,30,Procurement Portal,994.424,4972.12,N,OK
2025-12-22,S010,Coventry Care & Education Centre,Midlands,RoadReady,Vehicle & Fuel,INV-2025-01251,4,113.96,455.85,30,Legacy Spend File,91.17000000000002,455.85,N,OK
2025-08-16,S005,Sheffield Care & Education Centre,North,BuildCare,Facilities,INV-2025-01252,18,284.69,5124.4,30,Procurement Portal,1024.88,5124.4,N,OK
2025-10-22,S017,Swansea Care & Education Centre,Wales,TeleCare IT,IT & Telecoms,INV-2025-01253,11,73.48,808.33,30,ERP,161.66600000000005,808.33,N,OK
2025-12-18,S014,Southampton Care & Education Centre,South,BuildCare,Facilities,INV-2025-01254,53,221.12,11719.15,45,Procurement Portal,2343.83,11719.15,N,OK
2025-03-30,S019,Wrexham Care & Education Centre,Wales,SafeGuard FM,Facilities,INV-2025-01255,76,353.6,26873.83,45,Procurement Portal,5374.7660000000005,26873.83,N,OK
2025-07-08,S019,Wrexham Care & Education Centre,Wales,NourishCo,Food & Catering,INV-2025-01256,24,33.42,802.02,45,Procurement Portal,160.404,802.02,N,OK
2025-01-12,S016,Cardiff Care & Education Centre,Wales,UK Energy Partners,Utilities,INV-2025-01257,72,627.27,45163.38,60,Legacy Spend File,9032.676,45163.38,N,OK
2025-08-25,S011,London Care & Education Centre,South,UK Energy Partners,Utilities,INV-2025-01258,26,314.79,8184.67,45,Legacy Spend File,1636.9340000000002,8184.67,N,OK
2025-11-13,S010,Coventry Care & Education Centre,Midlands,CareMed,Medical Supplies,INV-2025-01259,55,81.43,4478.61,60,Procurement Portal,895.722,4478.61,N,OK
2025-03-29,S008,Leicester Care & Education Centre,Midlands,NourishCo,Food & Catering,INV-2025-01260,73,63.04,4601.67,30,ERP,920.334,4601.67,N,OK
2025-12-11,S013,Reading Care & Education Centre,South,CareTemps,Agency Labour,INV-2025-01261,64,407.83,26101.43,30,ERP,5220.286,26101.43,N,OK
2025-05-17,S004,Newcastle Care & Education Centre,North,UK Energy Partners,Utilities,INV-2025-01262,37,260.67,9644.87,60,Procurement Portal,1928.974,9644.87,N,OK
2025-04-16,S012,Bristol Care & Education Centre,South,SafeGuard FM,Facilities,INV-2025-01263,77,242.08,18640.24,30,Procurement Portal,3728.0480000000007,18640.24,N,OK
2025-04-03,S017,Swansea Care & Education Centre,Wales,WaterGrid,Utilities,INV-2025-01264,53,150.67,7985.5,30,ERP,1597.1,7985.5,N,OK
2025-11-13,S003,Leeds Care & Education Centre,North,CloudLink,IT & Telecoms,INV-2025-01265,58,241.48,14005.69,30,Procurement Portal,2801.1380000000004,14005.69,Y,OK
2025-01-06,S009,Derby Care & Education Centre,Midlands,OfficePlus,Office & Training,INV-2025-01266,61,34.47,2102.37,30,Procurement Portal,420.474,2102.37,N,OK
2025-04-19,S001,Preston Care & Education Centre,North,NurseLink,Agency Labour,INV-2025-01267,50,282.2,14109.89,60,Procurement Portal,2821.978,14109.89,N,OK
2025-02-18,S015,Brighton Care & Education Centre,South,CloudLink,IT & Telecoms,INV-2025-01268,72,133.82,9634.87,30,ERP,1926.974,9634.87,Y,OK
2025-07-01,S014,Southampton Care & Education Centre,South,WaterGrid,Utilities,INV-2025-01269,78,166.82,13012.01,60,Legacy Spend File,2602.402,13012.01,N,OK
2025-05-10,S020,Bangor Care & Education Centre,Wales,MediSure,Medical Supplies,INV-2025-01270,65,236.83,15393.96,60,Procurement Portal,3078.792,15393.96,Y,OK
2025-07-09,S018,Newport Care & Education Centre,Wales,NurseLink,Agency Labour,INV-2025-01271,17,546.76,9294.86,60,ERP,1858.972,9294.86,N,OK
2025-03-28,S020,Bangor Care & Education Centre,Wales,SafeGuard FM,Facilities,INV-2025-01272,65,251.64,16356.33,45,Procurement Portal,3271.266,16356.33,N,OK
2025-06-12,S016,Cardiff Care & Education Centre,Wales,CleanWorks,Facilities,INV-2025-01273,68,98.71,6712.27,45,ERP,1342.4540000000002,6712.27,Y,OK
2025-01-23,S008,Leicester Care & Education Centre,Midlands,NourishCo,Food & Catering,INV-2025-01274,17,54.62,928.51,45,Procurement Portal,185.702,928.51,N,OK
2025-05-25,S004,Newcastle Care & Education Centre,North,RoadReady,Vehicle & Fuel,INV-2025-01275,34,185.13,6294.56,60,Procurement Portal,1258.9120000000005,6294.56,N,OK
2025-03-26,S016,Cardiff Care & Education Centre,Wales,RoadReady,Vehicle & Fuel,INV-2025-01276,41,102.7,4210.74,60,Procurement Portal,842.148,4210.74,N,OK
2025-04-07,S005,Sheffield Care & Education Centre,North,OfficePlus,Office & Training,INV-2025-01277,20,268.57,5371.44,30,ERP,1074.288,5371.44,N,OK
2025-05-14,S008,Leicester Care & Education Centre,Midlands,CareMed,Medical Supplies,INV-2025-01278,21,148.98,3128.59,60,Procurement Portal,625.7180000000001,3128.59,N,OK
2025-01-21,S018,Newport Care & Education Centre,Wales,NourishCo,Food & Catering,INV-2025-01279,57,72.24,4117.76,45,Legacy Spend File,823.5520000000001,4117.76,N,OK
2025-09-10,S005,Sheffield Care & Education Centre,North,LearnWell,Office & Training,INV-2025-01280,15,63.27,949.11,60,ERP,189.822,949.11,N,OK
2025-04-15,S002,Manchester Care & Education Centre,North,FleetFuel,Vehicle & Fuel,INV-2025-01281,37,102.24,3782.89,30,ERP,756.578,3782.89,Y,OK
2025-12-06,S018,Newport Care & Education Centre,Wales,NetServe,IT & Telecoms,INV-2025-01282,75,202.3,15172.76,30,Legacy Spend File,3034.552,15172.76,N,OK
2025-02-09,S012,Bristol Care & Education Centre,South,SafeGuard FM,Facilities,INV-2025-01283,32,265.71,8502.81,45,Legacy Spend File,1700.562,8502.81,N,OK
2025-05-26,S011,London Care & Education Centre,South,FleetFuel,Vehicle & Fuel,INV-2025-01284,16,160.78,2572.55,45,Procurement Portal,514.5100000000001,2572.55,Y,OK
2025-03-20,S013,Reading Care & Education Centre,South,NourishCo,Food & Catering,INV-2025-01285,4,42.19,168.74,30,Procurement Portal,33.748000000000005,168.74,N,OK
2025-11-18,S008,Leicester Care & Education Centre,Midlands,LearnWell,Office & Training,INV-2025-01286,35,36.06,1262.26,60,Legacy Spend File,252.452,1262.26,N,OK
2025-12-02,S009,Derby Care & Education Centre,Midlands,FleetFuel,Vehicle & Fuel,INV-2025-01287,80,34.6,2768.31,45,Procurement Portal,553.662,2768.31,Y,OK
2025-01-25,S019,Wrexham Care & Education Centre,Wales,CleanWorks,Facilities,INV-2025-01288,37,238.02,8806.72,45,ERP,1761.344,8806.72,Y,OK
2025-11-05,S002,Manchester Care & Education Centre,North,KitchenPro,Food & Catering,INV-2025-01289,49,35.43,1736.03,30,Procurement Portal,347.206,1736.03,N,OK
2025-07-24,S003,Leeds Care & Education Centre,North,CleanWorks,Facilities,INV-2025-01290,12,55.08,661.01,30,ERP,132.202,661.01,Y,OK
2025-05-26,S008,Leicester Care & Education Centre,Midlands,CareTemps,Agency Labour,INV-2025-01291,20,371.48,7429.64,30,Procurement Portal,1485.928,7429.64,N,OK
2025-06-08,S001,Preston Care & Education Centre,North,NurseLink,Agency Labour,INV-2025-01292,78,1181.96,92193.14,30,Procurement Portal,18438.628,92193.14,N,OK
2025-09-20,S012,Bristol Care & Education Centre,South,NourishCo,Food & Catering,INV-2025-01293,26,64.78,1684.37,45,Procurement Portal,336.874,1684.37,N,OK
2025-10-16,S010,Coventry Care & Education Centre,Midlands,LearnWell,Office & Training,INV-2025-01294,77,118.94,9158.74,45,ERP,1831.748,9158.74,N,OK
2025-11-11,S011,London Care & Education Centre,South,CareTemps,Agency Labour,INV-2025-01295,24,313.81,7531.45,45,Legacy Spend File,1506.29,7531.45,N,OK
2025-09-20,S014,Southampton Care & Education Centre,South,FreshServe,Food & Catering,INV-2025-01296,44,61.56,2708.6,45,Legacy Spend File,541.72,2708.6,Y,OK
2025-09-27,S003,Leeds Care & Education Centre,North,SafeGuard FM,Facilities,INV-2025-01297,68,298.4,20291.49,30,Procurement Portal,4058.2980000000007,20291.49,N,OK
2025-09-02,S014,Southampton Care & Education Centre,South,HealthStaffing,Agency Labour,INV-2025-01298,39,255.73,9973.56,30,ERP,1994.712,9973.56,N,OK
2025-09-25,S001,Preston Care & Education Centre,North,CloudLink,IT & Telecoms,INV-2025-01299,55,254.85,14017.0,45,Legacy Spend File,2803.4,14017.0,Y,OK
2025-09-20,S003,Leeds Care & Education Centre,North,FreshServe,Food & Catering,INV-2025-01300,14,77.58,1086.13,60,Procurement Portal,217.22600000000003,1086.13,Y,OK
2025-12-05,S013,Reading Care & Education Centre,South,NourishCo,Food & Catering,INV-2025-01301,73,45.01,3285.9,45,Procurement Portal,657.1800000000001,3285.9,N,OK
2025-01-09,S006,Birmingham Care & Education Centre,Midlands,KitchenPro,Food & Catering,INV-2025-01302,15,112.17,1682.54,60,Legacy Spend File,336.50800000000004,1682.54,N,OK
2025-07-21,S018,Newport Care & Education Centre,Wales,CleanWorks,Facilities,INV-2025-01303,6,163.49,980.92,30,Procurement Portal,196.184,980.92,Y,OK
2025-10-28,S010,Coventry Care & Education Centre,Midlands,TeleCare IT,IT & Telecoms,INV-2025-01304,59,145.18,8565.56,60,Procurement Portal,1713.112,8565.56,N,OK
2025-04-06,S001,Preston Care & Education Centre,North,TeleCare IT,IT & Telecoms,INV-2025-01305,28,295.51,8274.32,30,ERP,1654.864,8274.32,N,OK
2025-02-24,S020,Bangor Care & Education Centre,Wales,NetServe,IT & Telecoms,INV-2025-01306,56,134.22,7516.24,60,ERP,1503.248,7516.24,N,OK
2025-01-07,S012,Bristol Care & Education Centre,South,HealthStaffing,Agency Labour,INV-2025-01307,22,304.69,6703.09,60,Procurement Portal,1340.6180000000002,6703.09,N,OK
2025-11-05,S013,Reading Care & Education Centre,South,NurseLink,Agency Labour,INV-2025-01308,63,298.5,18805.45,45,Legacy Spend File,3761.09,18805.45,N,OK
2025-12-11,S011,London Care & Education Centre,South,AutoCare,Vehicle & Fuel,INV-2025-01309,51,172.62,8803.86,45,ERP,1760.7720000000002,8803.86,N,OK
2025-04-08,S003,Leeds Care & Education Centre,North,CleanWorks,Facilities,INV-2025-01310,15,233.7,3505.51,30,Legacy Spend File,701.1020000000001,3505.51,Y,OK
2025-09-04,S012,Bristol Care & Education Centre,South,MediSure,Medical Supplies,INV-2025-01311,19,118.36,2248.83,60,ERP,449.766,2248.83,Y,OK
2025-06-04,S017,Swansea Care & Education Centre,Wales,UK Energy Partners,Utilities,INV-2025-01312,60,391.99,23519.31,30,Procurement Portal,4703.862,23519.31,N,OK
2025-03-27,S018,Newport Care & Education Centre,Wales,MediSure,Medical Supplies,INV-2025-01313,20,257.78,5155.6,60,Legacy Spend File,1031.12,5155.6,Y,OK
2025-01-11,S004,Newcastle Care & Education Centre,North,LearnWell,Office & Training,INV-2025-01314,58,101.93,5911.93,60,ERP,1182.3860000000002,5911.93,N,OK
2025-07-20,S017,Swansea Care & Education Centre,Wales,NetServe,IT & Telecoms,INV-2025-01315,7,221.26,1548.79,45,ERP,309.75800000000004,1548.79,N,OK
2025-09-11,S009,Derby Care & Education Centre,Midlands,CareTemps,Agency Labour,INV-2025-01316,75,145.81,10935.4,60,Legacy Spend File,2187.08,10935.4,N,OK
2025-09-07,S007,Nottingham Care & Education Centre,Midlands,CloudLink,IT & Telecoms,INV-2025-01317,52,122.46,6368.11,45,Legacy Spend File,1273.622,6368.11,Y,OK
2025-02-01,S010,Coventry Care & Education Centre,Midlands,OfficePlus,Office & Training,INV-2025-01318,68,63.41,4311.85,30,Procurement Portal,862.3700000000001,4311.85,N,OK
2025-02-02,S006,Birmingham Care & Education Centre,Midlands,AutoCare,Vehicle & Fuel,INV-2025-01319,35,67.94,2377.95,60,Procurement Portal,475.59,2377.95,N,OK
2025-11-15,S004,Newcastle Care & Education Centre,North,NourishCo,Food & Catering,INV-2025-01320,45,58.65,2639.16,45,Legacy Spend File,527.832,2639.16,N,OK
2025-05-28,S005,Sheffield Care & Education Centre,North,MediSure,Medical Supplies,INV-2025-01321,25,123.8,3094.94,45,Procurement Portal,618.988,3094.94,Y,OK
2025-04-23,S018,Newport Care & Education Centre,Wales,PowerDirect,Utilities,INV-2025-01322,76,334.55,25425.94,60,Procurement Portal,5085.188,25425.94,N,OK
2025-05-31,S003,Leeds Care & Education Centre,North,OfficePlus,Office & Training,INV-2025-01323,50,72.15,3607.38,45,Legacy Spend File,721.4760000000001,3607.38,N,OK
2025-03-24,S019,Wrexham Care & Education Centre,Wales,RoadReady,Vehicle & Fuel,INV-2025-01324,80,124.15,9931.63,30,Procurement Portal,1986.326,9931.63,N,OK
2025-09-05,S006,Birmingham Care & Education Centre,Midlands,KitchenPro,Food & Catering,INV-2025-01325,17,67.35,1144.89,30,ERP,228.97800000000004,1144.89,N,OK
2025-08-01,S019,Wrexham Care & Education Centre,Wales,OfficePlus,Office & Training,INV-2025-01326,64,25.3,1619.49,45,ERP,323.898,1619.49,N,OK
2025-07-03,S011,London Care & Education Centre,South,MediSure,Medical Supplies,INV-2025-01327,34,71.58,2433.82,45,Legacy Spend File,486.76400000000007,2433.82,Y,OK
2025-01-17,S012,Bristol Care & Education Centre,South,BuildCare,Facilities,INV-2025-01328,9,166.29,1496.57,45,Procurement Portal,299.314,1496.57,N,OK
2025-10-15,S018,Newport Care & Education Centre,Wales,UK Energy Partners,Utilities,INV-2025-01329,29,128.53,3727.25,45,Procurement Portal,745.45,3727.25,N,OK
2025-10-13,S003,Leeds Care & Education Centre,North,FleetFuel,Vehicle & Fuel,INV-2025-01330,35,132.14,4624.79,30,Legacy Spend File,924.958,4624.79,Y,OK
2025-01-26,S015,Brighton Care & Education Centre,South,KitchenPro,Food & Catering,INV-2025-01331,57,150.85,8598.57,45,ERP,1719.714,8598.57,N,OK
2025-01-22,S013,Reading Care & Education Centre,South,KitchenPro,Food & Catering,INV-2025-01332,65,127.07,8259.29,30,ERP,1651.8580000000002,8259.29,N,OK
2025-07-05,S019,Wrexham Care & Education Centre,Wales,FreshServe,Food & Catering,INV-2025-01333,21,57.8,1213.81,60,Procurement Portal,242.762,1213.81,Y,OK
2025-09-13,S018,Newport Care & Education Centre,Wales,PrintCo,Office & Training,INV-2025-01334,13,170.27,2213.51,30,Legacy Spend File,442.70200000000006,2213.51,N,OK
2025-03-04,S017,Swansea Care & Education Centre,Wales,FleetFuel,Vehicle & Fuel,INV-2025-01335,26,103.09,2680.45,45,Procurement Portal,536.09,2680.45,Y,OK
2025-06-24,S012,Bristol Care & Education Centre,South,WaterGrid,Utilities,INV-2025-01336,37,207.69,7684.66,60,ERP,1536.932,7684.66,N,OK
2025-08-01,S007,Nottingham Care & Education Centre,Midlands,TeleCare IT,IT & Telecoms,INV-2025-01337,47,157.0,7379.08,60,Legacy Spend File,1475.816,7379.08,N,OK
2025-08-04,S005,Sheffield Care & Education Centre,North,BuildCare,Facilities,INV-2025-01338,30,152.41,4572.41,30,Procurement Portal,914.482,4572.41,N,OK
2025-09-22,S020,Bangor Care & Education Centre,Wales,CareTemps,Agency Labour,INV-2025-01339,47,242.33,11389.34,30,Procurement Portal,2277.868,11389.34,N,OK
2025-09-22,S008,Leicester Care & Education Centre,Midlands,ClinEquip,Medical Supplies,INV-2025-01340,9,131.79,1186.12,30,Procurement Portal,237.224,1186.12,N,OK
2025-08-11,S014,Southampton Care & Education Centre,South,HealthStaffing,Agency Labour,INV-2025-01341,8,327.7,2621.6,45,ERP,524.32,2621.6,N,OK
2025-01-30,S002,Manchester Care & Education Centre,North,BuildCare,Facilities,INV-2025-01342,67,180.3,12080.22,45,Procurement Portal,2416.044,12080.22,N,OK
2025-06-10,S019,Wrexham Care & Education Centre,Wales,NetServe,IT & Telecoms,INV-2025-01343,45,279.76,12589.34,30,Procurement Portal,2517.8680000000004,12589.34,N,OK
2025-07-26,S015,Brighton Care & Education Centre,South,BuildCare,Facilities,INV-2025-01344,58,346.48,20095.58,60,ERP,4019.116,20095.58,N,OK
2025-06-26,S009,Derby Care & Education Centre,Midlands,PrintCo,Office & Training,INV-2025-01345,52,126.44,6574.72,30,Procurement Portal,1314.9440000000002,6574.72,N,OK
2025-06-21,S003,Leeds Care & Education Centre,North,ClinEquip,Medical Supplies,INV-2025-01346,50,53.03,2651.34,60,Legacy Spend File,530.268,2651.34,N,OK
2025-10-04,S020,Bangor Care & Education Centre,Wales,BuildCare,Facilities,INV-2025-01347,37,44.18,1634.71,30,ERP,326.942,1634.71,N,OK
2025-06-24,S017,Swansea Care & Education Centre,Wales,NetServe,IT & Telecoms,INV-2025-01348,21,367.79,7723.52,30,ERP,1544.7040000000002,7723.52,N,OK
2025-06-05,S005,Sheffield Care & Education Centre,North,CloudLink,IT & Telecoms,INV-2025-01349,55,103.74,5705.45,60,ERP,1141.09,5705.45,Y,OK
2025-05-13,S005,Sheffield Care & Education Centre,North,CareMed,Medical Supplies,INV-2025-01350,65,106.05,6892.97,45,ERP,1378.594,6892.97,N,OK
2025-06-02,S018,Newport Care & Education Centre,Wales,NourishCo,Food & Catering,INV-2025-01351,74,34.15,2527.26,60,ERP,505.45200000000006,2527.26,N,OK
2025-10-25,S007,Nottingham Care & Education Centre,Midlands,FleetFuel,Vehicle & Fuel,INV-2025-01352,73,35.26,2574.08,60,Legacy Spend File,514.816,2574.08,Y,OK
2025-06-03,S012,Bristol Care & Education Centre,South,WaterGrid,Utilities,INV-2025-01353,37,336.72,12458.81,60,Legacy Spend File,2491.762,12458.81,N,OK
2025-07-13,S012,Bristol Care & Education Centre,South,BuildCare,Facilities,INV-2025-01354,67,273.28,18309.67,60,ERP,3661.934,18309.67,N,OK
2025-10-26,S011,London Care & Education Centre,South,AutoCare,Vehicle & Fuel,INV-2025-01355,25,69.19,1729.65,45,Procurement Portal,345.93000000000006,1729.65,N,OK
2025-08-06,S010,Coventry Care & Education Centre,Midlands,BuildCare,Facilities,INV-2025-01356,53,43.29,2294.28,30,ERP,458.8560000000001,2294.28,N,OK
2025-09-01,S019,Wrexham Care & Education Centre,Wales,HealthStaffing,Agency Labour,INV-2025-01357,28,222.15,6220.17,45,ERP,1244.034,6220.17,N,OK
2025-10-14,S007,Nottingham Care & Education Centre,Midlands,NurseLink,Agency Labour,INV-2025-01358,67,372.14,24933.49,45,Procurement Portal,4986.698,24933.49,N,OK
2025-08-05,S006,Birmingham Care & Education Centre,Midlands,PrintCo,Office & Training,INV-2025-01359,57,33.25,1895.31,60,Procurement Portal,379.062,1895.31,N,OK
2025-03-15,S010,Coventry Care & Education Centre,Midlands,HealthStaffing,Agency Labour,INV-2025-01360,65,331.83,21569.11,30,Procurement Portal,4313.822,21569.11,N,OK
2025-12-27,S008,Leicester Care & Education Centre,Midlands,OfficePlus,Office & Training,INV-2025-01361,66,74.37,4908.49,60,ERP,981.698,4908.49,N,OK
2025-08-31,S012,Bristol Care & Education Centre,South,WaterGrid,Utilities,INV-2025-01362,5,343.8,1719.02,60,ERP,343.80400000000003,1719.02,N,OK
2025-11-05,S018,Newport Care & Education Centre,Wales,FleetFuel,Vehicle & Fuel,INV-2025-01363,53,101.46,5377.28,30,ERP,1075.456,5377.28,Y,OK
