Month,SiteID,SiteName,Region,Agency,Role,Hours,HourlyRate,AgencySpend
2025-01-01,S016,Cardiff Care & Education Centre,Wales,NurseLink,Support Worker,71,23,1633
2025-01-01,S017,Swansea Care & Education Centre,Wales,CareTemps,Support Worker,54,23,1242
2025-01-01,S018,Newport Care & Education Centre,Wales,CareTemps,Support Worker,99,23,2277
2025-01-01,S019,Wrexham Care & Education Centre,Wales,NurseLink,Senior Support Worker,10,28,280
2025-01-01,S020,Bangor Care & Education Centre,Wales,CareTemps,Support Worker,28,23,644
2025-01-01,S020,Bangor Care & Education Centre,Wales,NurseLink,Registered Nurse,83,42,3486
2025-02-01,S001,Preston Care & Education Centre,North,HealthStaffing,Registered Nurse,92,42,3864
2025-02-01,S001,Preston Care & Education Centre,North,HealthStaffing,Senior Support Worker,77,28,2156
2025-02-01,S001,Preston Care & Education Centre,North,CareTemps,Support Worker,34,23,782
2025-02-01,S002,Manchester Care & Education Centre,North,NurseLink,Senior Support Worker,61,28,1708
2025-02-01,S003,Leeds Care & Education Centre,North,NurseLink,Registered Nurse,103,42,4326
2025-02-01,S003,Leeds Care & Education Centre,North,HealthStaffing,Senior Support Worker,110,28,3080
2025-02-01,S004,Newcastle Care & Education Centre,North,HealthStaffing,Support Worker,89,23,2047
2025-02-01,S004,Newcastle Care & Education Centre,North,CareTemps,Registered Nurse,130,42,5460
2025-02-01,S004,Newcastle Care & Education Centre,North,CareTemps,Senior Support Worker,103,28,2884
2025-02-01,S005,Sheffield Care & Education Centre,North,CareTemps,Support Worker,63,23,1449
2025-02-01,S005,Sheffield Care & Education Centre,North,CareTemps,Senior Support Worker,80,28,2240
2025-02-01,S005,Sheffield Care & Education Centre,North,HealthStaffing,Registered Nurse,40,42,1680
2025-02-01,S006,Birmingham Care & Education Centre,Midlands,HealthStaffing,Registered Nurse,86,42,3612
2025-02-01,S007,Nottingham Care & Education Centre,Midlands,CareTemps,Registered Nurse,128,42,5376
2025-02-01,S007,Nottingham Care & Education Centre,Midlands,NurseLink,Support Worker,113,23,2599
2025-02-01,S007,Nottingham Care & Education Centre,Midlands,HealthStaffing,Senior Support Worker,139,28,3892
2025-02-01,S008,Leicester Care & Education Centre,Midlands,NurseLink,Registered Nurse,79,42,3318
2025-02-01,S009,Derby Care & Education Centre,Midlands,HealthStaffing,Senior Support Worker,137,28,3836
2025-02-01,S009,Derby Care & Education Centre,Midlands,HealthStaffing,Support Worker,83,23,1909
2025-02-01,S010,Coventry Care & Education Centre,Midlands,NurseLink,Support Worker,141,23,3243
2025-02-01,S011,London Care & Education Centre,South,NurseLink,Registered Nurse,89,42,3738
2025-02-01,S012,Bristol Care & Education Centre,South,CareTemps,Support Worker,114,23,2622
2025-02-01,S012,Bristol Care & Education Centre,South,NurseLink,Senior Support Worker,141,28,3948
2025-02-01,S012,Bristol Care & Education Centre,South,CareTemps,Registered Nurse,83,42,3486
2025-02-01,S013,Reading Care & Education Centre,South,NurseLink,Senior Support Worker,97,28,2716
2025-02-01,S014,Southampton Care & Education Centre,South,NurseLink,Senior Support Worker,135,28,3780
2025-02-01,S014,Southampton Care & Education Centre,South,NurseLink,Registered Nurse,85,42,3570
2025-02-01,S015,Brighton Care & Education Centre,South,HealthStaffing,Registered Nurse,43,42,1806
2025-02-01,S015,Brighton Care & Education Centre,South,NurseLink,Support Worker,165,23,3795
2025-02-01,S015,Brighton Care & Education Centre,South,HealthStaffing,Senior Support Worker,73,28,2044
2025-02-01,S016,Cardiff Care & Education Centre,Wales,HealthStaffing,Senior Support Worker,95,28,2660
2025-02-01,S017,Swansea Care & Education Centre,Wales,HealthStaffing,Senior Support Worker,130,28,3640
2025-02-01,S017,Swansea Care & Education Centre,Wales,CareTemps,Registered Nurse,68,42,2856
2025-02-01,S017,Swansea Care & Education Centre,Wales,HealthStaffing,Support Worker,54,23,1242
2025-02-01,S018,Newport Care & Education Centre,Wales,NurseLink,Registered Nurse,98,42,4116
2025-02-01,S018,Newport Care & Education Centre,Wales,NurseLink,Support Worker,27,23,621
2025-02-01,S018,Newport Care & Education Centre,Wales,NurseLink,Senior Support Worker,79,28,2212
2025-02-01,S019,Wrexham Care & Education Centre,Wales,NurseLink,Senior Support Worker,98,28,2744
2025-02-01,S019,Wrexham Care & Education Centre,Wales,HealthStaffing,Registered Nurse,80,42,3360
2025-02-01,S019,Wrexham Care & Education Centre,Wales,CareTemps,Support Worker,35,23,805
2025-02-01,S020,Bangor Care & Education Centre,Wales,CareTemps,Senior Support Worker,145,28,4060
2025-02-01,S020,Bangor Care & Education Centre,Wales,CareTemps,Support Worker,93,23,2139
2025-03-01,S001,Preston Care & Education Centre,North,NurseLink,Registered Nurse,140,42,5880
2025-03-01,S002,Manchester Care & Education Centre,North,CareTemps,Support Worker,80,23,1840
2025-03-01,S003,Leeds Care & Education Centre,North,NurseLink,Registered Nurse,59,42,2478
2025-03-01,S004,Newcastle Care & Education Centre,North,NurseLink,Support Worker,99,23,2277
2025-03-01,S005,Sheffield Care & Education Centre,North,HealthStaffing,Support Worker,82,23,1886
2025-03-01,S006,Birmingham Care & Education Centre,Midlands,HealthStaffing,Registered Nurse,48,42,2016
2025-03-01,S006,Birmingham Care & Education Centre,Midlands,CareTemps,Senior Support Worker,141,28,3948
2025-03-01,S006,Birmingham Care & Education Centre,Midlands,NurseLink,Support Worker,68,23,1564
2025-03-01,S007,Nottingham Care & Education Centre,Midlands,NurseLink,Registered Nurse,25,42,1050
2025-03-01,S007,Nottingham Care & Education Centre,Midlands,CareTemps,Support Worker,136,23,3128
2025-03-01,S007,Nottingham Care & Education Centre,Midlands,HealthStaffing,Senior Support Worker,72,28,2016
2025-03-01,S008,Leicester Care & Education Centre,Midlands,NurseLink,Registered Nurse,68,42,2856
2025-03-01,S008,Leicester Care & Education Centre,Midlands,HealthStaffing,Senior Support Worker,28,28,784
2025-03-01,S008,Leicester Care & Education Centre,Midlands,NurseLink,Support Worker,150,23,3450
2025-03-01,S009,Derby Care & Education Centre,Midlands,CareTemps,Support Worker,44,23,1012
2025-03-01,S009,Derby Care & Education Centre,Midlands,NurseLink,Senior Support Worker,92,28,2576
2025-03-01,S009,Derby Care & Education Centre,Midlands,CareTemps,Registered Nurse,121,42,5082
2025-03-01,S010,Coventry Care & Education Centre,Midlands,NurseLink,Senior Support Worker,104,28,2912
2025-03-01,S010,Coventry Care & Education Centre,Midlands,NurseLink,Support Worker,87,23,2001
2025-03-01,S011,London Care & Education Centre,South,CareTemps,Senior Support Worker,30,28,840
2025-03-01,S011,London Care & Education Centre,South,NurseLink,Registered Nurse,61,42,2562
2025-03-01,S011,London Care & Education Centre,South,NurseLink,Support Worker,96,23,2208
2025-03-01,S012,Bristol Care & Education Centre,South,HealthStaffing,Registered Nurse,62,42,2604
2025-03-01,S012,Bristol Care & Education Centre,South,HealthStaffing,Support Worker,97,23,2231
2025-03-01,S012,Bristol Care & Education Centre,South,CareTemps,Senior Support Worker,113,28,3164
2025-03-01,S013,Reading Care & Education Centre,South,NurseLink,Senior Support Worker,123,28,3444
2025-03-01,S014,Southampton Care & Education Centre,South,NurseLink,Support Worker,47,23,1081
2025-03-01,S014,Southampton Care & Education Centre,South,CareTemps,Registered Nurse,166,42,6972
2025-03-01,S014,Southampton Care & Education Centre,South,NurseLink,Senior Support Worker,116,28,3248
2025-03-01,S015,Brighton Care & Education Centre,South,NurseLink,Registered Nurse,89,42,3738
2025-03-01,S016,Cardiff Care & Education Centre,Wales,NurseLink,Senior Support Worker,128,28,3584
2025-03-01,S016,Cardiff Care & Education Centre,Wales,HealthStaffing,Support Worker,172,23,3956
2025-03-01,S017,Swansea Care & Education Centre,Wales,NurseLink,Registered Nurse,39,42,1638
2025-03-01,S017,Swansea Care & Education Centre,Wales,NurseLink,Senior Support Worker,82,28,2296
2025-03-01,S018,Newport Care & Education Centre,Wales,HealthStaffing,Registered Nurse,10,42,420
2025-03-01,S018,Newport Care & Education Centre,Wales,CareTemps,Support Worker,96,23,2208
2025-03-01,S018,Newport Care & Education Centre,Wales,HealthStaffing,Senior Support Worker,102,28,2856
2025-03-01,S019,Wrexham Care & Education Centre,Wales,CareTemps,Senior Support Worker,88,28,2464
2025-03-01,S020,Bangor Care & Education Centre,Wales,HealthStaffing,Registered Nurse,67,42,2814
2025-03-01,S020,Bangor Care & Education Centre,Wales,NurseLink,Senior Support Worker,18,28,504
2025-04-01,S001,Preston Care & Education Centre,North,CareTemps,Support Worker,103,23,2369
2025-04-01,S001,Preston Care & Education Centre,North,CareTemps,Senior Support Worker,140,28,3920
2025-04-01,S001,Preston Care & Education Centre,North,HealthStaffing,Registered Nurse,69,42,2898
2025-04-01,S002,Manchester Care & Education Centre,North,NurseLink,Support Worker,105,23,2415
2025-04-01,S002,Manchester Care & Education Centre,North,NurseLink,Registered Nurse,35,42,1470
2025-04-01,S002,Manchester Care & Education Centre,North,CareTemps,Senior Support Worker,106,28,2968
2025-04-01,S003,Leeds Care & Education Centre,North,NurseLink,Senior Support Worker,76,28,2128
2025-04-01,S003,Leeds Care & Education Centre,North,NurseLink,Support Worker,63,23,1449
2025-04-01,S004,Newcastle Care & Education Centre,North,NurseLink,Senior Support Worker,63,28,1764
2025-04-01,S004,Newcastle Care & Education Centre,North,HealthStaffing,Registered Nurse,76,42,3192
2025-04-01,S005,Sheffield Care & Education Centre,North,NurseLink,Registered Nurse,103,42,4326
2025-04-01,S006,Birmingham Care & Education Centre,Midlands,NurseLink,Support Worker,44,23,1012
2025-04-01,S006,Birmingham Care & Education Centre,Midlands,NurseLink,Registered Nurse,76,42,3192
2025-04-01,S006,Birmingham Care & Education Centre,Midlands,CareTemps,Senior Support Worker,88,28,2464
2025-04-01,S007,Nottingham Care & Education Centre,Midlands,NurseLink,Senior Support Worker,51,28,1428
2025-04-01,S007,Nottingham Care & Education Centre,Midlands,HealthStaffing,Support Worker,152,23,3496
2025-04-01,S007,Nottingham Care & Education Centre,Midlands,NurseLink,Registered Nurse,60,42,2520
2025-04-01,S008,Leicester Care & Education Centre,Midlands,NurseLink,Support Worker,66,23,1518
2025-04-01,S008,Leicester Care & Education Centre,Midlands,CareTemps,Registered Nurse,55,42,2310
2025-04-01,S008,Leicester Care & Education Centre,Midlands,HealthStaffing,Senior Support Worker,152,28,4256
2025-04-01,S009,Derby Care & Education Centre,Midlands,NurseLink,Registered Nurse,109,42,4578
2025-04-01,S009,Derby Care & Education Centre,Midlands,NurseLink,Senior Support Worker,57,28,1596
2025-04-01,S009,Derby Care & Education Centre,Midlands,CareTemps,Support Worker,128,23,2944
2025-04-01,S010,Coventry Care & Education Centre,Midlands,NurseLink,Registered Nurse,97,42,4074
2025-04-01,S010,Coventry Care & Education Centre,Midlands,HealthStaffing,Support Worker,99,23,2277
2025-04-01,S010,Coventry Care & Education Centre,Midlands,HealthStaffing,Senior Support Worker,77,28,2156
2025-04-01,S011,London Care & Education Centre,South,NurseLink,Senior Support Worker,63,28,1764
2025-04-01,S011,London Care & Education Centre,South,CareTemps,Support Worker,101,23,2323
2025-04-01,S012,Bristol Care & Education Centre,South,HealthStaffing,Registered Nurse,70,42,2940
2025-04-01,S012,Bristol Care & Education Centre,South,NurseLink,Senior Support Worker,153,28,4284
2025-04-01,S013,Reading Care & Education Centre,South,HealthStaffing,Registered Nurse,45,42,1890
2025-04-01,S013,Reading Care & Education Centre,South,HealthStaffing,Senior Support Worker,143,28,4004
2025-04-01,S014,Southampton Care & Education Centre,South,HealthStaffing,Senior Support Worker,86,28,2408
2025-04-01,S014,Southampton Care & Education Centre,South,NurseLink,Registered Nurse,100,42,4200
2025-04-01,S015,Brighton Care & Education Centre,South,HealthStaffing,Senior Support Worker,119,28,3332
2025-04-01,S016,Cardiff Care & Education Centre,Wales,HealthStaffing,Senior Support Worker,67,28,1876
2025-04-01,S016,Cardiff Care & Education Centre,Wales,HealthStaffing,Registered Nurse,120,42,5040
2025-04-01,S016,Cardiff Care & Education Centre,Wales,NurseLink,Support Worker,10,23,230
2025-04-01,S017,Swansea Care & Education Centre,Wales,HealthStaffing,Support Worker,64,23,1472
2025-04-01,S017,Swansea Care & Education Centre,Wales,CareTemps,Registered Nurse,57,42,2394
2025-04-01,S017,Swansea Care & Education Centre,Wales,HealthStaffing,Senior Support Worker,46,28,1288
2025-04-01,S018,Newport Care & Education Centre,Wales,NurseLink,Senior Support Worker,82,28,2296
2025-04-01,S018,Newport Care & Education Centre,Wales,CareTemps,Registered Nurse,103,42,4326
2025-04-01,S018,Newport Care & Education Centre,Wales,NurseLink,Support Worker,114,23,2622
2025-04-01,S019,Wrexham Care & Education Centre,Wales,CareTemps,Support Worker,98,23,2254
2025-04-01,S019,Wrexham Care & Education Centre,Wales,HealthStaffing,Registered Nurse,66,42,2772
2025-04-01,S020,Bangor Care & Education Centre,Wales,NurseLink,Support Worker,102,23,2346
2025-04-01,S020,Bangor Care & Education Centre,Wales,HealthStaffing,Registered Nurse,94,42,3948
2025-04-01,S020,Bangor Care & Education Centre,Wales,CareTemps,Senior Support Worker,122,28,3416
2025-05-01,S001,Preston Care & Education Centre,North,HealthStaffing,Senior Support Worker,117,28,3276
2025-05-01,S001,Preston Care & Education Centre,North,NurseLink,Registered Nurse,91,42,3822
2025-05-01,S001,Preston Care & Education Centre,North,HealthStaffing,Support Worker,58,23,1334
2025-05-01,S002,Manchester Care & Education Centre,North,CareTemps,Senior Support Worker,67,28,1876
2025-05-01,S002,Manchester Care & Education Centre,North,HealthStaffing,Registered Nurse,70,42,2940
2025-05-01,S002,Manchester Care & Education Centre,North,NurseLink,Support Worker,78,23,1794
2025-05-01,S003,Leeds Care & Education Centre,North,CareTemps,Senior Support Worker,99,28,2772
2025-05-01,S003,Leeds Care & Education Centre,North,NurseLink,Registered Nurse,115,42,4830
2025-05-01,S004,Newcastle Care & Education Centre,North,CareTemps,Support Worker,88,23,2024
2025-05-01,S004,Newcastle Care & Education Centre,North,NurseLink,Registered Nurse,90,42,3780
2025-05-01,S005,Sheffield Care & Education Centre,North,HealthStaffing,Registered Nurse,95,42,3990
2025-05-01,S005,Sheffield Care & Education Centre,North,HealthStaffing,Support Worker,71,23,1633
2025-05-01,S006,Birmingham Care & Education Centre,Midlands,NurseLink,Senior Support Worker,57,28,1596
2025-05-01,S006,Birmingham Care & Education Centre,Midlands,NurseLink,Support Worker,28,23,644
2025-05-01,S007,Nottingham Care & Education Centre,Midlands,NurseLink,Support Worker,65,23,1495
2025-05-01,S007,Nottingham Care & Education Centre,Midlands,CareTemps,Senior Support Worker,106,28,2968
2025-05-01,S007,Nottingham Care & Education Centre,Midlands,HealthStaffing,Registered Nurse,65,42,2730
2025-05-01,S008,Leicester Care & Education Centre,Midlands,NurseLink,Support Worker,81,23,1863
2025-05-01,S009,Derby Care & Education Centre,Midlands,HealthStaffing,Registered Nurse,106,42,4452
2025-05-01,S009,Derby Care & Education Centre,Midlands,HealthStaffing,Support Worker,108,23,2484
2025-05-01,S009,Derby Care & Education Centre,Midlands,CareTemps,Senior Support Worker,52,28,1456
2025-05-01,S010,Coventry Care & Education Centre,Midlands,CareTemps,Registered Nurse,124,42,5208
2025-05-01,S011,London Care & Education Centre,South,CareTemps,Registered Nurse,129,42,5418
2025-05-01,S012,Bristol Care & Education Centre,South,CareTemps,Support Worker,50,23,1150
2025-05-01,S012,Bristol Care & Education Centre,South,HealthStaffing,Registered Nurse,61,42,2562
2025-05-01,S013,Reading Care & Education Centre,South,NurseLink,Support Worker,131,23,3013
2025-05-01,S014,Southampton Care & Education Centre,South,NurseLink,Registered Nurse,84,42,3528
2025-05-01,S015,Brighton Care & Education Centre,South,CareTemps,Registered Nurse,12,42,504
2025-05-01,S016,Cardiff Care & Education Centre,Wales,CareTemps,Senior Support Worker,41,28,1148
2025-05-01,S016,Cardiff Care & Education Centre,Wales,CareTemps,Support Worker,81,23,1863
2025-05-01,S016,Cardiff Care & Education Centre,Wales,CareTemps,Registered Nurse,49,42,2058
2025-05-01,S017,Swansea Care & Education Centre,Wales,NurseLink,Support Worker,75,23,1725
2025-05-01,S018,Newport Care & Education Centre,Wales,CareTemps,Support Worker,91,23,2093
2025-05-01,S018,Newport Care & Education Centre,Wales,HealthStaffing,Senior Support Worker,141,28,3948
2025-05-01,S019,Wrexham Care & Education Centre,Wales,HealthStaffing,Registered Nurse,79,42,3318
2025-05-01,S020,Bangor Care & Education Centre,Wales,NurseLink,Registered Nurse,127,42,5334
2025-05-01,S020,Bangor Care & Education Centre,Wales,NurseLink,Support Worker,140,23,3220
2025-06-01,S001,Preston Care & Education Centre,North,CareTemps,Registered Nurse,140,42,5880
2025-06-01,S001,Preston Care & Education Centre,North,HealthStaffing,Support Worker,99,23,2277
2025-06-01,S001,Preston Care & Education Centre,North,CareTemps,Senior Support Worker,21,28,588
2025-06-01,S002,Manchester Care & Education Centre,North,NurseLink,Support Worker,106,23,2438
2025-06-01,S002,Manchester Care & Education Centre,North,NurseLink,Senior Support Worker,126,28,3528
2025-06-01,S003,Leeds Care & Education Centre,North,HealthStaffing,Registered Nurse,87,42,3654
2025-06-01,S003,Leeds Care & Education Centre,North,CareTemps,Senior Support Worker,151,28,4228
2025-06-01,S003,Leeds Care & Education Centre,North,NurseLink,Support Worker,120,23,2760
2025-06-01,S004,Newcastle Care & Education Centre,North,CareTemps,Registered Nurse,109,42,4578
2025-06-01,S004,Newcastle Care & Education Centre,North,NurseLink,Support Worker,128,23,2944
2025-06-01,S005,Sheffield Care & Education Centre,North,CareTemps,Registered Nurse,101,42,4242
2025-06-01,S005,Sheffield Care & Education Centre,North,CareTemps,Senior Support Worker,10,28,280
2025-06-01,S005,Sheffield Care & Education Centre,North,HealthStaffing,Support Worker,72,23,1656
2025-06-01,S006,Birmingham Care & Education Centre,Midlands,NurseLink,Registered Nurse,131,42,5502
2025-06-01,S007,Nottingham Care & Education Centre,Midlands,NurseLink,Senior Support Worker,61,28,1708
2025-06-01,S007,Nottingham Care & Education Centre,Midlands,NurseLink,Registered Nurse,82,42,3444
2025-06-01,S008,Leicester Care & Education Centre,Midlands,NurseLink,Senior Support Worker,53,28,1484
2025-06-01,S008,Leicester Care & Education Centre,Midlands,NurseLink,Registered Nurse,152,42,6384
2025-06-01,S009,Derby Care & Education Centre,Midlands,NurseLink,Registered Nurse,148,42,6216
2025-06-01,S009,Derby Care & Education Centre,Midlands,NurseLink,Senior Support Worker,59,28,1652
2025-06-01,S010,Coventry Care & Education Centre,Midlands,CareTemps,Support Worker,95,23,2185
2025-06-01,S010,Coventry Care & Education Centre,Midlands,NurseLink,Senior Support Worker,66,28,1848
2025-06-01,S011,London Care & Education Centre,South,NurseLink,Support Worker,111,23,2553
2025-06-01,S012,Bristol Care & Education Centre,South,HealthStaffing,Registered Nurse,107,42,4494
2025-06-01,S012,Bristol Care & Education Centre,South,HealthStaffing,Support Worker,118,23,2714
2025-06-01,S013,Reading Care & Education Centre,South,HealthStaffing,Support Worker,101,23,2323
2025-06-01,S014,Southampton Care & Education Centre,South,NurseLink,Registered Nurse,192,42,8064
2025-06-01,S014,Southampton Care & Education Centre,South,NurseLink,Support Worker,54,23,1242
2025-06-01,S015,Brighton Care & Education Centre,South,HealthStaffing,Support Worker,30,23,690
2025-06-01,S016,Cardiff Care & Education Centre,Wales,HealthStaffing,Senior Support Worker,76,28,2128
2025-06-01,S017,Swansea Care & Education Centre,Wales,HealthStaffing,Registered Nurse,35,42,1470
2025-06-01,S017,Swansea Care & Education Centre,Wales,HealthStaffing,Support Worker,37,23,851
2025-06-01,S018,Newport Care & Education Centre,Wales,HealthStaffing,Registered Nurse,54,42,2268
2025-06-01,S018,Newport Care & Education Centre,Wales,NurseLink,Senior Support Worker,57,28,1596
2025-06-01,S019,Wrexham Care & Education Centre,Wales,NurseLink,Senior Support Worker,56,28,1568
2025-06-01,S020,Bangor Care & Education Centre,Wales,NurseLink,Senior Support Worker,108,28,3024
2025-06-01,S020,Bangor Care & Education Centre,Wales,HealthStaffing,Support Worker,72,23,1656
2025-07-01,S001,Preston Care & Education Centre,North,NurseLink,Registered Nurse,83,42,3486
2025-07-01,S001,Preston Care & Education Centre,North,NurseLink,Senior Support Worker,121,28,3388
2025-07-01,S002,Manchester Care & Education Centre,North,HealthStaffing,Registered Nurse,63,42,2646
2025-07-01,S002,Manchester Care & Education Centre,North,CareTemps,Senior Support Worker,80,28,2240
2025-07-01,S002,Manchester Care & Education Centre,North,NurseLink,Support Worker,102,23,2346
2025-07-01,S003,Leeds Care & Education Centre,North,CareTemps,Registered Nurse,22,42,924
2025-07-01,S004,Newcastle Care & Education Centre,North,HealthStaffing,Registered Nurse,10,42,420
2025-07-01,S004,Newcastle Care & Education Centre,North,NurseLink,Senior Support Worker,102,28,2856
2025-07-01,S004,Newcastle Care & Education Centre,North,HealthStaffing,Support Worker,107,23,2461
2025-07-01,S005,Sheffield Care & Education Centre,North,NurseLink,Registered Nurse,162,42,6804
2025-07-01,S006,Birmingham Care & Education Centre,Midlands,CareTemps,Senior Support Worker,95,28,2660
2025-07-01,S006,Birmingham Care & Education Centre,Midlands,HealthStaffing,Support Worker,118,23,2714
2025-07-01,S006,Birmingham Care & Education Centre,Midlands,HealthStaffing,Registered Nurse,83,42,3486
2025-07-01,S007,Nottingham Care & Education Centre,Midlands,NurseLink,Support Worker,100,23,2300
2025-07-01,S007,Nottingham Care & Education Centre,Midlands,HealthStaffing,Senior Support Worker,148,28,4144
2025-07-01,S007,Nottingham Care & Education Centre,Midlands,HealthStaffing,Registered Nurse,15,42,630
2025-07-01,S008,Leicester Care & Education Centre,Midlands,HealthStaffing,Support Worker,104,23,2392
2025-07-01,S009,Derby Care & Education Centre,Midlands,NurseLink,Support Worker,164,23,3772
2025-07-01,S009,Derby Care & Education Centre,Midlands,HealthStaffing,Senior Support Worker,99,28,2772
2025-07-01,S009,Derby Care & Education Centre,Midlands,HealthStaffing,Registered Nurse,147,42,6174
2025-07-01,S010,Coventry Care & Education Centre,Midlands,HealthStaffing,Senior Support Worker,67,28,1876
2025-07-01,S010,Coventry Care & Education Centre,Midlands,NurseLink,Support Worker,88,23,2024
2025-07-01,S011,London Care & Education Centre,South,CareTemps,Registered Nurse,91,42,3822
2025-07-01,S012,Bristol Care & Education Centre,South,NurseLink,Support Worker,12,23,276
2025-07-01,S012,Bristol Care & Education Centre,South,NurseLink,Senior Support Worker,49,28,1372
2025-07-01,S013,Reading Care & Education Centre,South,NurseLink,Registered Nurse,51,42,2142
2025-07-01,S013,Reading Care & Education Centre,South,HealthStaffing,Support Worker,118,23,2714
2025-07-01,S014,Southampton Care & Education Centre,South,NurseLink,Registered Nurse,120,42,5040
2025-07-01,S014,Southampton Care & Education Centre,South,CareTemps,Support Worker,101,23,2323
2025-07-01,S015,Brighton Care & Education Centre,South,CareTemps,Support Worker,118,23,2714
2025-07-01,S016,Cardiff Care & Education Centre,Wales,CareTemps,Registered Nurse,84,42,3528
2025-07-01,S016,Cardiff Care & Education Centre,Wales,NurseLink,Senior Support Worker,132,28,3696
2025-07-01,S017,Swansea Care & Education Centre,Wales,CareTemps,Senior Support Worker,90,28,2520
2025-07-01,S017,Swansea Care & Education Centre,Wales,HealthStaffing,Registered Nurse,92,42,3864
2025-07-01,S018,Newport Care & Education Centre,Wales,CareTemps,Support Worker,80,23,1840
2025-07-01,S018,Newport Care & Education Centre,Wales,HealthStaffing,Senior Support Worker,113,28,3164
2025-07-01,S019,Wrexham Care & Education Centre,Wales,NurseLink,Support Worker,75,23,1725
2025-07-01,S019,Wrexham Care & Education Centre,Wales,NurseLink,Registered Nurse,124,42,5208
2025-07-01,S019,Wrexham Care & Education Centre,Wales,HealthStaffing,Senior Support Worker,50,28,1400
2025-07-01,S020,Bangor Care & Education Centre,Wales,NurseLink,Support Worker,51,23,1173
2025-07-01,S020,Bangor Care & Education Centre,Wales,HealthStaffing,Registered Nurse,114,42,4788
2025-07-01,S020,Bangor Care & Education Centre,Wales,NurseLink,Senior Support Worker,86,28,2408
2025-08-01,S001,Preston Care & Education Centre,North,HealthStaffing,Support Worker,74,23,1702
2025-08-01,S001,Preston Care & Education Centre,North,HealthStaffing,Registered Nurse,121,42,5082
2025-08-01,S002,Manchester Care & Education Centre,North,HealthStaffing,Senior Support Worker,68,28,1904
2025-08-01,S002,Manchester Care & Education Centre,North,CareTemps,Support Worker,82,23,1886
2025-08-01,S003,Leeds Care & Education Centre,North,HealthStaffing,Senior Support Worker,138,28,3864
