Month,SiteID,SiteName,Region,Role,FTE,AnnualSalary,OvertimeHours,OvertimeCost,AbsenceDays,BasePayroll,TotalPayroll
2025-01-01,S005,Sheffield Care & Education Centre,North,Support Worker,18.3,25000,55.4,887.82,9.2,38125.0,39012.82
2025-01-01,S005,Sheffield Care & Education Centre,North,Manager,19.1,43000,76.8,2116.92,10.0,68441.66666666667,70558.58666666667
2025-01-01,S005,Sheffield Care & Education Centre,North,Team Leader,15.4,35000,55.4,1242.95,5.9,44916.666666666664,46159.61666666666
2025-01-01,S005,Sheffield Care & Education Centre,North,Administrator,4.1,27000,13.7,237.12,2.8,9224.999999999998,9462.119999999999
2025-01-01,S005,Sheffield Care & Education Centre,North,Registered Nurse,9.6,41000,34.1,896.22,4.6,32800.0,33696.22
2025-01-01,S006,Birmingham Care & Education Centre,Midlands,Driver,17.4,28000,95.3,1710.51,8.0,40599.99999999999,42310.509999999995
2025-01-01,S006,Birmingham Care & Education Centre,Midlands,Registered Nurse,4.0,41000,6.7,176.09,1.8,13666.666666666666,13842.756666666666
2025-01-01,S006,Birmingham Care & Education Centre,Midlands,Senior Support Worker,7.2,29000,23.6,438.72,2.6,17400.0,17838.72
2025-01-01,S006,Birmingham Care & Education Centre,Midlands,Administrator,13.8,27000,51.6,893.08,7.4,31050.0,31943.08
2025-01-01,S007,Nottingham Care & Education Centre,Midlands,Registered Nurse,19.3,41000,76.9,2021.09,10.0,65941.66666666667,67962.75666666667
2025-01-01,S007,Nottingham Care & Education Centre,Midlands,Manager,11.2,43000,75.3,2075.58,5.3,40133.33333333333,42208.91333333333
2025-01-01,S007,Nottingham Care & Education Centre,Midlands,Team Leader,8.3,35000,36.7,823.4,3.6,24208.333333333332,25031.733333333334
2025-01-01,S007,Nottingham Care & Education Centre,Midlands,Senior Support Worker,18.0,29000,49.1,912.76,8.4,43500.0,44412.76
2025-01-01,S007,Nottingham Care & Education Centre,Midlands,Administrator,6.4,27000,21.0,363.46,3.6,14400.0,14763.46
2025-01-01,S008,Leicester Care & Education Centre,Midlands,Senior Support Worker,15.5,29000,116.6,2167.56,7.0,37458.333333333336,39625.89333333333
2025-01-01,S008,Leicester Care & Education Centre,Midlands,Manager,6.3,43000,21.3,587.12,3.1,22575.0,23162.12
2025-01-01,S008,Leicester Care & Education Centre,Midlands,Administrator,16.6,27000,76.3,1320.58,8.6,37350.00000000001,38670.58000000001
2025-01-01,S008,Leicester Care & Education Centre,Midlands,Support Worker,7.8,25000,46.2,740.38,1.5,16250.0,16990.38
2025-01-01,S008,Leicester Care & Education Centre,Midlands,Driver,16.4,28000,6.9,123.85,7.7,38266.666666666664,38390.51666666666
2025-01-01,S008,Leicester Care & Education Centre,Midlands,Team Leader,10.2,35000,57.6,1292.31,3.5,29750.0,31042.31
2025-01-01,S009,Derby Care & Education Centre,Midlands,Registered Nurse,8.0,41000,0.0,0.0,4.6,27333.333333333332,27333.333333333332
2025-01-01,S009,Derby Care & Education Centre,Midlands,Driver,3.5,28000,15.3,274.62,0.7,8166.666666666667,8441.286666666667
2025-01-01,S009,Derby Care & Education Centre,Midlands,Senior Support Worker,13.9,29000,35.1,652.5,6.0,33591.666666666664,34244.166666666664
2025-01-01,S009,Derby Care & Education Centre,Midlands,Manager,10.2,43000,42.5,1171.47,4.5,36549.99999999999,37721.469999999994
2025-01-01,S010,Coventry Care & Education Centre,Midlands,Team Leader,5.7,35000,27.0,605.77,0.0,16625.0,17230.77
2025-01-01,S010,Coventry Care & Education Centre,Midlands,Senior Support Worker,10.6,29000,28.8,535.38,4.2,25616.666666666668,26152.04666666667
2025-01-01,S010,Coventry Care & Education Centre,Midlands,Driver,8.3,28000,30.0,538.46,3.6,19366.666666666668,19905.126666666667
2025-01-01,S010,Coventry Care & Education Centre,Midlands,Manager,18.9,43000,98.2,2706.79,7.6,67724.99999999999,70431.78999999998
2025-01-01,S010,Coventry Care & Education Centre,Midlands,Registered Nurse,10.8,41000,43.9,1153.78,6.0,36900.00000000001,38053.780000000006
2025-01-01,S011,London Care & Education Centre,South,Administrator,5.8,27000,39.4,681.92,2.4,13050.0,13731.92
2025-01-01,S011,London Care & Education Centre,South,Manager,5.2,43000,23.3,642.24,0.8,18633.333333333332,19275.573333333334
2025-01-01,S011,London Care & Education Centre,South,Team Leader,19.3,35000,8.0,179.49,10.5,56291.666666666664,56471.15666666666
2025-01-01,S011,London Care & Education Centre,South,Registered Nurse,5.1,41000,20.4,536.15,3.7,17424.999999999996,17961.149999999998
2025-01-01,S012,Bristol Care & Education Centre,South,Manager,17.1,43000,33.2,915.13,9.1,61275.00000000001,62190.130000000005
2025-01-01,S012,Bristol Care & Education Centre,South,Team Leader,9.4,35000,64.0,1435.9,5.1,27416.666666666668,28852.56666666667
2025-01-01,S012,Bristol Care & Education Centre,South,Registered Nurse,3.4,41000,15.0,394.23,1.7,11616.666666666666,12010.896666666666
2025-01-01,S012,Bristol Care & Education Centre,South,Senior Support Worker,10.4,29000,17.1,317.88,6.6,25133.333333333332,25451.213333333333
2025-01-01,S012,Bristol Care & Education Centre,South,Administrator,8.5,27000,26.2,453.46,4.8,19125.0,19578.46
2025-01-01,S013,Reading Care & Education Centre,South,Registered Nurse,8.5,41000,14.1,370.58,3.1,29041.666666666668,29412.24666666667
2025-01-01,S013,Reading Care & Education Centre,South,Manager,15.9,43000,97.8,2695.77,7.6,56975.0,59670.77
2025-01-01,S013,Reading Care & Education Centre,South,Support Worker,3.7,25000,22.9,366.99,1.8,7708.333333333333,8075.323333333333
2025-01-01,S013,Reading Care & Education Centre,South,Driver,11.7,28000,14.5,260.26,6.7,27300.0,27560.26
2025-01-01,S014,Southampton Care & Education Centre,South,Administrator,5.4,27000,16.8,290.77,3.4,12150.0,12440.77
2025-01-01,S014,Southampton Care & Education Centre,South,Driver,4.7,28000,19.0,341.03,0.8,10966.666666666666,11307.696666666667
2025-01-01,S014,Southampton Care & Education Centre,South,Senior Support Worker,5.8,29000,24.6,457.31,5.1,14016.666666666666,14473.976666666666
2025-01-01,S014,Southampton Care & Education Centre,South,Team Leader,15.1,35000,71.6,1606.41,7.5,44041.666666666664,45648.07666666667
2025-01-01,S014,Southampton Care & Education Centre,South,Support Worker,4.6,25000,25.8,413.46,2.5,9583.333333333332,9996.793333333331
2025-01-01,S014,Southampton Care & Education Centre,South,Registered Nurse,9.1,41000,39.3,1032.88,3.5,31091.666666666668,32124.54666666667
2025-01-01,S015,Brighton Care & Education Centre,South,Registered Nurse,11.4,41000,49.6,1303.59,6.7,38950.0,40253.59
2025-01-01,S015,Brighton Care & Education Centre,South,Support Worker,12.3,25000,33.8,541.67,7.6,25625.0,26166.67
2025-01-01,S015,Brighton Care & Education Centre,South,Team Leader,11.9,35000,46.0,1032.05,5.1,34708.333333333336,35740.38333333334
2025-01-01,S015,Brighton Care & Education Centre,South,Driver,13.9,28000,76.4,1371.28,6.7,32433.333333333332,33804.613333333335
2025-01-01,S015,Brighton Care & Education Centre,South,Administrator,9.7,27000,49.9,863.65,4.6,21824.999999999996,22688.649999999998
2025-01-01,S016,Cardiff Care & Education Centre,Wales,Manager,5.7,43000,22.3,614.68,3.3,20425.0,21039.68
2025-01-01,S016,Cardiff Care & Education Centre,Wales,Support Worker,16.0,25000,71.0,1137.82,6.0,33333.333333333336,34471.153333333335
2025-01-01,S016,Cardiff Care & Education Centre,Wales,Senior Support Worker,17.8,29000,41.3,767.76,9.8,43016.666666666664,43784.426666666666
2025-01-01,S016,Cardiff Care & Education Centre,Wales,Team Leader,6.9,35000,26.2,587.82,2.9,20125.0,20712.82
2025-01-01,S017,Swansea Care & Education Centre,Wales,Administrator,3.9,27000,7.7,133.27,0.9,8775.0,8908.27
2025-01-01,S017,Swansea Care & Education Centre,Wales,Driver,17.3,28000,16.7,299.74,8.5,40366.666666666664,40666.40666666666
2025-01-01,S017,Swansea Care & Education Centre,Wales,Manager,6.8,43000,21.1,581.6,2.4,24366.666666666668,24948.266666666666
2025-01-01,S017,Swansea Care & Education Centre,Wales,Support Worker,3.7,25000,14.4,230.77,2.2,7708.333333333333,7939.1033333333335
2025-01-01,S018,Newport Care & Education Centre,Wales,Driver,11.5,28000,82.1,1473.59,4.2,26833.333333333332,28306.923333333332
2025-01-01,S018,Newport Care & Education Centre,Wales,Senior Support Worker,8.5,29000,48.8,907.18,5.2,20541.666666666668,21448.846666666668
2025-01-01,S018,Newport Care & Education Centre,Wales,Administrator,15.9,27000,45.0,778.85,8.2,35775.0,36553.85
2025-01-01,S018,Newport Care & Education Centre,Wales,Manager,14.4,43000,47.7,1314.81,7.4,51600.0,52914.81
2025-01-01,S019,Wrexham Care & Education Centre,Wales,Manager,14.4,43000,90.2,2486.28,7.8,51600.0,54086.28
2025-01-01,S019,Wrexham Care & Education Centre,Wales,Registered Nurse,14.9,41000,71.0,1866.03,7.0,50908.333333333336,52774.363333333335
2025-01-01,S019,Wrexham Care & Education Centre,Wales,Team Leader,12.4,35000,22.0,493.59,6.0,36166.666666666664,36660.25666666666
2025-01-01,S019,Wrexham Care & Education Centre,Wales,Support Worker,3.7,25000,21.5,344.55,0.3,7708.333333333333,8052.883333333333
2025-01-01,S020,Bangor Care & Education Centre,Wales,Support Worker,14.9,25000,36.0,576.92,7.6,31041.666666666668,31618.586666666666
2025-01-01,S020,Bangor Care & Education Centre,Wales,Senior Support Worker,12.9,29000,32.5,604.17,5.7,31175.0,31779.17
2025-01-01,S020,Bangor Care & Education Centre,Wales,Administrator,9.3,27000,31.3,541.73,3.3,20925.000000000004,21466.730000000003
2025-01-01,S020,Bangor Care & Education Centre,Wales,Team Leader,18.3,35000,46.5,1043.27,9.9,53375.0,54418.27
2025-01-01,S020,Bangor Care & Education Centre,Wales,Driver,5.8,28000,11.8,211.79,1.3,13533.333333333334,13745.123333333335
2025-01-01,S020,Bangor Care & Education Centre,Wales,Manager,6.6,43000,20.2,556.79,4.0,23650.0,24206.79
2025-02-01,S001,Preston Care & Education Centre,North,Support Worker,11.7,25000,43.3,693.91,5.4,24375.0,25068.91
2025-02-01,S001,Preston Care & Education Centre,North,Administrator,5.7,27000,23.2,401.54,1.1,12825.0,13226.54
2025-02-01,S001,Preston Care & Education Centre,North,Manager,6.4,43000,30.3,835.19,3.6,22933.333333333332,23768.52333333333
2025-02-01,S001,Preston Care & Education Centre,North,Registered Nurse,13.3,41000,45.0,1182.69,7.7,45441.666666666664,46624.35666666667
2025-02-01,S001,Preston Care & Education Centre,North,Senior Support Worker,8.7,29000,20.1,373.65,5.5,21024.999999999996,21398.649999999998
2025-02-01,S001,Preston Care & Education Centre,North,Team Leader,8.6,35000,36.4,816.67,4.0,25083.333333333332,25900.00333333333
2025-02-01,S002,Manchester Care & Education Centre,North,Team Leader,10.6,35000,42.1,944.55,5.2,30916.666666666668,31861.216666666667
2025-02-01,S002,Manchester Care & Education Centre,North,Support Worker,19.5,25000,113.7,1822.12,8.7,40625.0,42447.12
2025-02-01,S002,Manchester Care & Education Centre,North,Registered Nurse,14.4,41000,41.1,1080.19,8.2,49200.0,50280.19
2025-02-01,S002,Manchester Care & Education Centre,North,Driver,16.1,28000,50.0,897.44,9.0,37566.66666666667,38464.106666666674
2025-02-01,S002,Manchester Care & Education Centre,North,Administrator,6.5,27000,42.6,737.31,2.8,14625.0,15362.31
2025-02-01,S003,Leeds Care & Education Centre,North,Support Worker,6.4,25000,32.1,514.42,2.0,13333.333333333334,13847.753333333334
2025-02-01,S003,Leeds Care & Education Centre,North,Team Leader,12.7,35000,65.2,1462.82,6.5,37041.666666666664,38504.486666666664
2025-02-01,S003,Leeds Care & Education Centre,North,Driver,15.7,28000,73.9,1326.41,7.2,36633.333333333336,37959.74333333334
2025-02-01,S003,Leeds Care & Education Centre,North,Senior Support Worker,17.2,29000,25.9,481.47,9.1,41566.666666666664,42048.136666666665
2025-02-01,S004,Newcastle Care & Education Centre,North,Senior Support Worker,14.0,29000,12.7,236.09,6.7,33833.333333333336,34069.42333333333
2025-02-01,S004,Newcastle Care & Education Centre,North,Manager,6.9,43000,37.3,1028.14,3.6,24725.0,25753.14
2025-02-01,S004,Newcastle Care & Education Centre,North,Registered Nurse,18.1,41000,125.3,3293.14,10.1,61841.66666666668,65134.80666666668
2025-02-01,S004,Newcastle Care & Education Centre,North,Administrator,17.3,27000,52.2,903.46,8.7,38925.0,39828.46
2025-02-01,S004,Newcastle Care & Education Centre,North,Driver,6.7,28000,26.3,472.05,1.8,15633.333333333334,16105.383333333333
2025-02-01,S004,Newcastle Care & Education Centre,North,Support Worker,3.4,25000,8.8,141.03,1.1,7083.333333333333,7224.363333333333
2025-02-01,S005,Sheffield Care & Education Centre,North,Senior Support Worker,11.5,29000,10.9,202.63,5.8,27791.666666666668,27994.29666666667
2025-02-01,S005,Sheffield Care & Education Centre,North,Driver,15.2,28000,55.1,988.97,5.9,35466.666666666664,36455.636666666665
2025-02-01,S005,Sheffield Care & Education Centre,North,Registered Nurse,15.2,41000,70.0,1839.74,8.3,51933.333333333336,53773.073333333334
2025-02-01,S005,Sheffield Care & Education Centre,North,Administrator,10.8,27000,46.9,811.73,5.1,24300.0,25111.73
2025-02-01,S006,Birmingham Care & Education Centre,Midlands,Manager,13.1,43000,64.0,1764.1,7.2,46941.666666666664,48705.76666666666
2025-02-01,S006,Birmingham Care & Education Centre,Midlands,Senior Support Worker,16.5,29000,73.6,1368.21,7.4,39875.0,41243.21
2025-02-01,S006,Birmingham Care & Education Centre,Midlands,Team Leader,14.3,35000,63.1,1415.71,8.3,41708.333333333336,43124.043333333335
2025-02-01,S006,Birmingham Care & Education Centre,Midlands,Driver,18.9,28000,58.7,1053.59,11.5,44100.0,45153.59
2025-02-01,S006,Birmingham Care & Education Centre,Midlands,Registered Nurse,4.3,41000,13.8,362.69,2.2,14691.666666666666,15054.356666666667
2025-02-01,S007,Nottingham Care & Education Centre,Midlands,Support Worker,17.6,25000,52.6,842.95,9.0,36666.66666666667,37509.61666666667
2025-02-01,S007,Nottingham Care & Education Centre,Midlands,Driver,19.1,28000,26.5,475.64,9.0,44566.666666666664,45042.306666666664
2025-02-01,S007,Nottingham Care & Education Centre,Midlands,Manager,18.8,43000,44.4,1223.85,9.5,67366.66666666667,68590.51666666668
2025-02-01,S007,Nottingham Care & Education Centre,Midlands,Administrator,8.2,27000,45.0,778.85,4.7,18449.999999999996,19228.849999999995
2025-02-01,S008,Leicester Care & Education Centre,Midlands,Administrator,9.3,27000,4.1,70.96,6.7,20925.000000000004,20995.960000000003
2025-02-01,S008,Leicester Care & Education Centre,Midlands,Manager,14.0,43000,62.2,1714.49,6.2,50166.666666666664,51881.15666666666
2025-02-01,S008,Leicester Care & Education Centre,Midlands,Senior Support Worker,19.5,29000,82.6,1535.51,9.9,47125.0,48660.51
2025-02-01,S008,Leicester Care & Education Centre,Midlands,Support Worker,15.6,25000,46.8,750.0,8.0,32500.0,33250.0
2025-02-01,S008,Leicester Care & Education Centre,Midlands,Team Leader,9.3,35000,28.7,643.91,4.2,27125.0,27768.91
2025-02-01,S009,Derby Care & Education Centre,Midlands,Team Leader,18.3,35000,54.4,1220.51,7.7,53375.0,54595.51
2025-02-01,S009,Derby Care & Education Centre,Midlands,Administrator,8.1,27000,34.2,591.92,4.6,18225.0,18816.92
2025-02-01,S009,Derby Care & Education Centre,Midlands,Support Worker,7.5,25000,35.8,573.72,4.6,15625.0,16198.72
2025-02-01,S009,Derby Care & Education Centre,Midlands,Registered Nurse,18.8,41000,84.3,2215.58,8.9,64233.333333333336,66448.91333333333
2025-02-01,S009,Derby Care & Education Centre,Midlands,Manager,18.1,43000,95.2,2624.1,7.7,64858.33333333334,67482.43333333335
2025-02-01,S010,Coventry Care & Education Centre,Midlands,Support Worker,6.0,25000,15.9,254.81,2.0,12500.0,12754.81
2025-02-01,S010,Coventry Care & Education Centre,Midlands,Administrator,4.9,27000,27.5,475.96,3.4,11025.0,11500.96
2025-02-01,S010,Coventry Care & Education Centre,Midlands,Driver,15.3,28000,72.4,1299.49,8.7,35700.0,36999.49
2025-02-01,S010,Coventry Care & Education Centre,Midlands,Team Leader,10.7,35000,28.7,643.91,5.7,31208.333333333332,31852.243333333332
2025-02-01,S011,London Care & Education Centre,South,Administrator,4.1,27000,15.6,270.0,2.9,9224.999999999998,9494.999999999998
2025-02-01,S011,London Care & Education Centre,South,Manager,14.8,43000,56.6,1560.13,7.0,53033.333333333336,54593.46333333333
2025-02-01,S011,London Care & Education Centre,South,Registered Nurse,6.7,41000,32.2,846.28,4.2,22891.666666666668,23737.946666666667
2025-02-01,S011,London Care & Education Centre,South,Driver,9.8,28000,29.4,527.69,4.8,22866.666666666668,23394.356666666667
2025-02-01,S011,London Care & Education Centre,South,Support Worker,9.4,25000,22.7,363.78,2.2,19583.333333333332,19947.11333333333
2025-02-01,S011,London Care & Education Centre,South,Senior Support Worker,3.6,29000,15.5,288.14,2.4,8700.0,8988.14
2025-02-01,S012,Bristol Care & Education Centre,South,Driver,12.8,28000,56.2,1008.72,4.5,29866.666666666668,30875.38666666667
2025-02-01,S012,Bristol Care & Education Centre,South,Team Leader,3.7,35000,12.9,289.42,0.0,10791.666666666666,11081.086666666666
2025-02-01,S012,Bristol Care & Education Centre,South,Administrator,4.1,27000,24.8,429.23,1.0,9224.999999999998,9654.229999999998
2025-02-01,S012,Bristol Care & Education Centre,South,Senior Support Worker,16.1,29000,94.7,1760.45,9.0,38908.333333333336,40668.78333333333
2025-02-01,S012,Bristol Care & Education Centre,South,Support Worker,7.8,25000,20.7,331.73,2.8,16250.0,16581.73
2025-02-01,S013,Reading Care & Education Centre,South,Administrator,14.4,27000,65.2,1128.46,6.4,32400.0,33528.46
2025-02-01,S013,Reading Care & Education Centre,South,Team Leader,19.4,35000,80.6,1808.33,9.2,56583.333333333336,58391.66333333334
2025-02-01,S013,Reading Care & Education Centre,South,Senior Support Worker,6.2,29000,8.2,152.44,0.9,14983.333333333334,15135.773333333334
2025-02-01,S013,Reading Care & Education Centre,South,Registered Nurse,14.7,41000,63.8,1676.79,6.8,50225.0,51901.79
2025-02-01,S013,Reading Care & Education Centre,South,Support Worker,16.8,25000,53.3,854.17,9.1,35000.0,35854.17
2025-02-01,S014,Southampton Care & Education Centre,South,Support Worker,7.9,25000,45.5,729.17,3.7,16458.333333333332,17187.50333333333
2025-02-01,S014,Southampton Care & Education Centre,South,Manager,4.5,43000,15.7,432.76,2.8,16125.0,16557.76
2025-02-01,S014,Southampton Care & Education Centre,South,Team Leader,9.2,35000,18.1,406.09,4.8,26833.333333333332,27239.423333333332
2025-02-01,S014,Southampton Care & Education Centre,South,Administrator,17.0,27000,82.1,1420.96,9.2,38250.0,39670.96
2025-02-01,S014,Southampton Care & Education Centre,South,Driver,12.3,28000,13.5,242.31,5.4,28700.0,28942.31
2025-02-01,S014,Southampton Care & Education Centre,South,Registered Nurse,9.3,41000,24.9,654.42,4.7,31775.000000000004,32429.420000000002
2025-02-01,S015,Brighton Care & Education Centre,South,Administrator,15.5,27000,73.2,1266.92,9.2,34875.0,36141.92
2025-02-01,S015,Brighton Care & Education Centre,South,Manager,8.9,43000,29.0,799.36,4.0,31891.666666666668,32691.02666666667
2025-02-01,S015,Brighton Care & Education Centre,South,Driver,6.0,28000,34.3,615.64,3.3,14000.0,14615.64
2025-02-01,S015,Brighton Care & Education Centre,South,Senior Support Worker,9.8,29000,57.8,1074.49,5.2,23683.333333333332,24757.823333333334
2025-02-01,S015,Brighton Care & Education Centre,South,Team Leader,10.9,35000,24.7,554.17,4.1,31791.666666666668,32345.836666666666
2025-02-01,S016,Cardiff Care & Education Centre,Wales,Driver,12.2,28000,20.4,366.15,6.8,28466.666666666668,28832.81666666667
2025-02-01,S016,Cardiff Care & Education Centre,Wales,Registered Nurse,9.1,41000,52.6,1382.44,6.4,31091.666666666668,32474.106666666667
2025-02-01,S016,Cardiff Care & Education Centre,Wales,Senior Support Worker,10.3,29000,54.2,1007.56,6.3,24891.666666666668,25899.22666666667
2025-02-01,S016,Cardiff Care & Education Centre,Wales,Team Leader,13.2,35000,41.3,926.6,5.4,38500.0,39426.6
2025-02-01,S016,Cardiff Care & Education Centre,Wales,Administrator,18.0,27000,95.0,1644.23,9.4,40500.0,42144.23
2025-02-01,S017,Swansea Care & Education Centre,Wales,Registered Nurse,17.7,41000,73.7,1936.99,9.2,60475.0,62411.99
2025-02-01,S017,Swansea Care & Education Centre,Wales,Administrator,5.8,27000,26.0,450.0,4.2,13050.0,13500.0
2025-02-01,S017,Swansea Care & Education Centre,Wales,Team Leader,3.7,35000,22.0,493.59,2.4,10791.666666666666,11285.256666666666
2025-02-01,S017,Swansea Care & Education Centre,Wales,Manager,11.6,43000,61.1,1684.17,6.3,41566.666666666664,43250.83666666666
2025-02-01,S017,Swansea Care & Education Centre,Wales,Driver,17.6,28000,58.2,1044.62,9.6,41066.66666666667,42111.286666666674
2025-02-01,S018,Newport Care & Education Centre,Wales,Senior Support Worker,19.6,29000,37.4,695.26,10.9,47366.666666666664,48061.926666666666
2025-02-01,S018,Newport Care & Education Centre,Wales,Manager,16.5,43000,36.4,1003.33,8.5,59125.0,60128.33
2025-02-01,S018,Newport Care & Education Centre,Wales,Registered Nurse,17.0,41000,46.4,1219.49,9.1,58083.333333333336,59302.823333333334
2025-02-01,S018,Newport Care & Education Centre,Wales,Driver,9.7,28000,38.3,687.44,3.3,22633.333333333332,23320.77333333333
2025-02-01,S018,Newport Care & Education Centre,Wales,Administrator,17.0,27000,78.7,1362.12,7.9,38250.0,39612.12
2025-02-01,S018,Newport Care & Education Centre,Wales,Support Worker,18.0,25000,95.8,1535.26,9.0,37500.0,39035.26
2025-02-01,S019,Wrexham Care & Education Centre,Wales,Manager,7.3,43000,33.5,923.4,2.7,26158.333333333332,27081.733333333334
2025-02-01,S019,Wrexham Care & Education Centre,Wales,Support Worker,12.4,25000,38.6,618.59,5.7,25833.333333333332,26451.923333333332
2025-02-01,S019,Wrexham Care & Education Centre,Wales,Driver,19.0,28000,100.4,1802.05,11.2,44333.333333333336,46135.38333333334
2025-02-01,S019,Wrexham Care & Education Centre,Wales,Administrator,15.6,27000,43.6,754.62,8.9,35100.0,35854.62
2025-02-01,S019,Wrexham Care & Education Centre,Wales,Registered Nurse,14.6,41000,10.9,286.47,6.1,49883.333333333336,50169.80333333334
2025-02-01,S019,Wrexham Care & Education Centre,Wales,Team Leader,16.4,35000,42.0,942.31,6.8,47833.333333333336,48775.64333333333
2025-02-01,S020,Bangor Care & Education Centre,Wales,Support Worker,14.2,25000,23.1,370.19,7.5,29583.333333333332,29953.52333333333
2025-02-01,S020,Bangor Care & Education Centre,Wales,Registered Nurse,9.7,41000,35.7,938.27,5.2,33141.666666666664,34079.93666666666
2025-02-01,S020,Bangor Care & Education Centre,Wales,Administrator,12.8,27000,64.5,1116.35,6.7,28800.0,29916.35
2025-02-01,S020,Bangor Care & Education Centre,Wales,Team Leader,15.7,35000,78.3,1756.73,7.8,45791.666666666664,47548.39666666667
2025-02-01,S020,Bangor Care & Education Centre,Wales,Manager,14.7,43000,32.6,898.59,8.4,52675.0,53573.59
2025-03-01,S001,Preston Care & Education Centre,North,Senior Support Worker,17.2,29000,53.6,996.41,7.7,41566.666666666664,42563.07666666667
2025-03-01,S001,Preston Care & Education Centre,North,Administrator,18.2,27000,67.9,1175.19,8.2,40950.0,42125.19
2025-03-01,S001,Preston Care & Education Centre,North,Team Leader,6.2,35000,20.9,468.91,3.4,18083.333333333332,18552.243333333332
2025-03-01,S001,Preston Care & Education Centre,North,Driver,3.0,28000,13.6,244.1,0.6,7000.0,7244.1
2025-03-01,S002,Manchester Care & Education Centre,North,Driver,7.1,28000,23.2,416.41,4.6,16566.666666666668,16983.076666666668
2025-03-01,S002,Manchester Care & Education Centre,North,Support Worker,9.9,25000,47.0,753.21,7.0,20625.0,21378.21
2025-03-01,S002,Manchester Care & Education Centre,North,Team Leader,17.0,35000,98.1,2200.96,9.6,49583.333333333336,51784.293333333335
2025-03-01,S002,Manchester Care & Education Centre,North,Senior Support Worker,12.2,29000,23.4,435.0,6.9,29483.333333333332,29918.333333333332
2025-03-01,S002,Manchester Care & Education Centre,North,Administrator,4.6,27000,18.0,311.54,1.7,10349.999999999998,10661.539999999999
2025-03-01,S002,Manchester Care & Education Centre,North,Manager,16.8,43000,71.4,1968.08,9.3,60200.0,62168.08
2025-03-01,S003,Leeds Care & Education Centre,North,Support Worker,6.5,25000,30.9,495.19,2.4,13541.666666666666,14036.856666666667
2025-03-01,S003,Leeds Care & Education Centre,North,Driver,17.1,28000,87.4,1568.72,7.9,39900.00000000001,41468.72000000001
2025-03-01,S003,Leeds Care & Education Centre,North,Registered Nurse,14.6,41000,63.1,1658.4,7.0,49883.333333333336,51541.73333333334
2025-03-01,S003,Leeds Care & Education Centre,North,Administrator,4.1,27000,15.1,261.35,2.8,9224.999999999998,9486.349999999999
2025-03-01,S004,Newcastle Care & Education Centre,North,Support Worker,14.9,25000,36.4,583.33,9.4,31041.666666666668,31624.99666666667
2025-03-01,S004,Newcastle Care & Education Centre,North,Team Leader,8.1,35000,10.3,231.09,3.5,23625.0,23856.09
